 Total battles: 1544
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Garchomp           | 62.36846% | 837    | 27.105% | 646    | 27.181% | 
 | 2    | Tyranitar          | 42.29459% | 699    | 22.636% | 557    | 23.436% | 
 | 3    | Jellicent          | 35.39852% | 392    | 12.694% | 307    | 12.917% | 
 | 4    | Landorus-Therian   | 32.20339% | 481    | 15.576% | 370    | 15.568% | 
 | 5    | Alakazam           | 30.19335% | 359    | 11.626% | 242    | 10.182% | 
 | 6    | Politoed           | 29.83609% | 720    | 23.316% | 638    | 26.844% | 
 | 7    | Skarmory           | 27.34417% | 472    | 15.285% | 388    | 16.325% | 
 | 8    | Ferrothorn         | 25.83340% | 721    | 23.348% | 597    | 25.119% | 
 | 9    | Scizor             | 23.64845% | 592    | 19.171% | 446    | 18.766% | 
 | 10   | Latios             | 19.49552% | 471    | 15.253% | 354    | 14.895% | 
 | 11   | Jirachi            | 19.29903% | 461    | 14.929% | 347    | 14.600% | 
 | 12   | Keldeo             | 16.36838% | 325    | 10.525% | 234    |  9.846% | 
 | 13   | Heatran            | 15.60277% | 482    | 15.609% | 399    | 16.788% | 
 | 14   | Celebi             | 14.65223% | 318    | 10.298% | 256    | 10.771% | 
 | 15   | Tentacruel         | 14.10979% | 345    | 11.172% | 272    | 11.445% | 
 | 16   | Latias             | 13.86004% | 271    |  8.776% | 170    |  7.153% | 
 | 17   | Volcarona          | 13.05141% | 347    | 11.237% | 243    | 10.224% | 
 | 18   | Rotom-Wash         | 12.12909% | 328    | 10.622% | 278    | 11.697% | 
 | 19   | Starmie            | 10.96575% | 367    | 11.885% | 263    | 11.066% | 
 | 20   | Gliscor            | 10.24684% | 349    | 11.302% | 280    | 11.781% | 
 | 21   | Magnezone          |  9.56559% | 160    |  5.181% | 121    |  5.091% | 
 | 22   | Salamence          |  8.80239% | 200    |  6.477% | 133    |  5.596% | 
 | 23   | Hydreigon          |  7.19822% | 167    |  5.408% | 127    |  5.344% | 
 | 24   | Breloom            |  6.76532% | 256    |  8.290% | 204    |  8.583% | 
 | 25   | Dragonite          |  6.43626% | 391    | 12.662% | 288    | 12.118% | 
 | 26   | Reuniclus          |  5.89126% | 198    |  6.412% | 153    |  6.438% | 
 | 27   | Terrakion          |  4.52313% | 230    |  7.448% | 166    |  6.985% | 
