 Total battles: 47
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Kyogre             | 43.61702% | 41     | 43.617% | 27     | 39.803% | 
 | 2    | Rayquaza           | 37.23404% | 35     | 37.234% | 25     | 36.855% | 
 | 3    | Mewtwo             | 32.97872% | 31     | 32.979% | 17     | 25.061% | 
 | 4    | Deoxys-Attack      | 29.78723% | 28     | 29.787% | 17     | 25.061% | 
 | 5    | Groudon            | 28.72340% | 27     | 28.723% | 22     | 32.432% | 
 | 6    | Lugia              | 27.65957% | 26     | 27.660% | 18     | 26.536% | 
 | 7    | Salamence          | 22.34043% | 21     | 22.340% | 15     | 22.113% | 
 | 8    | Metagross          | 21.27660% | 20     | 21.277% | 11     | 16.216% | 
 | 9    | Latios             | 20.21277% | 19     | 20.213% | 15     | 22.113% | 
 | 10   | Latias             | 19.14894% | 18     | 19.149% | 14     | 20.639% | 
 | 11   | Blissey            | 13.82979% | 13     | 13.830% | 12     | 17.690% | 
 | 12   | Ho-Oh              | 13.82979% | 13     | 13.830% | 11     | 16.216% | 
 | 13   | Blaziken           | 12.76596% | 12     | 12.766% | 10     | 14.742% | 
 | 14   | Jirachi            | 11.70213% | 11     | 11.702% | 6      |  8.845% | 
 | 15   | Sceptile           | 10.63830% | 10     | 10.638% | 9      | 13.268% | 
 | 16   | Tyranitar          | 10.63830% | 10     | 10.638% | 5      |  7.371% | 
 | 17   | Milotic            |  9.57447% | 9      |  9.574% | 8      | 11.794% | 
 | 18   | Gengar             |  9.57447% | 9      |  9.574% | 8      | 11.794% | 
 | 19   | Swampert           |  8.51064% | 8      |  8.511% | 7      | 10.319% | 
 | 20   | Heracross          |  7.44681% | 7      |  7.447% | 3      |  4.423% | 
 | 21   | Deoxys-Defense     |  7.44681% | 7      |  7.447% | 7      | 10.319% | 
 | 22   | Aggron             |  6.38298% | 6      |  6.383% | 5      |  7.371% | 
 | 23   | Celebi             |  6.38298% | 6      |  6.383% | 4      |  5.897% | 
 | 24   | Venusaur           |  6.38298% | 6      |  6.383% | 5      |  7.371% | 
 | 25   | Alakazam           |  6.38298% | 6      |  6.383% | 3      |  4.423% | 
 | 26   | Exeggutor          |  5.31915% | 5      |  5.319% | 5      |  7.371% | 
 | 27   | Vaporeon           |  5.31915% | 5      |  5.319% | 4      |  5.897% | 
 | 28   | Gardevoir          |  5.31915% | 5      |  5.319% | 4      |  5.897% | 
 | 29   | Charizard          |  5.31915% | 5      |  5.319% | 5      |  7.371% | 
 | 30   | Dusclops           |  5.31915% | 5      |  5.319% | 5      |  7.371% | 
 | 31   | Forretress         |  5.31915% | 5      |  5.319% | 4      |  5.897% | 
 | 32   | Mightyena          |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 33   | Snorlax            |  4.25532% | 4      |  4.255% | 2      |  2.948% | 
 | 34   | Absol              |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 35   | Aerodactyl         |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 36   | Lapras             |  4.25532% | 4      |  4.255% | 2      |  2.948% | 
 | 37   | Blastoise          |  4.25532% | 4      |  4.255% | 4      |  5.897% | 
 | 38   | Jolteon            |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 39   | Umbreon            |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 40   | Dragonite          |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 41   | Shuckle            |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 42   | Skarmory           |  4.25532% | 4      |  4.255% | 4      |  5.897% | 
 | 43   | Kingdra            |  4.25532% | 4      |  4.255% | 3      |  4.423% | 
 | 44   | Swellow            |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 45   | Walrein            |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 46   | Porygon2           |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 47   | Slaking            |  3.19149% | 3      |  3.191% | 1      |  1.474% | 
 | 48   | Torkoal            |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 49   | Shiftry            |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 50   | Ludicolo           |  3.19149% | 3      |  3.191% | 2      |  2.948% | 
 | 51   | Houndoom           |  3.19149% | 3      |  3.191% | 3      |  4.423% | 
 | 52   | Machamp            |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 53   | Mew                |  2.12766% | 2      |  2.128% | 0      |  0.000% | 
 | 54   | Golem              |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 55   | Breloom            |  2.12766% | 2      |  2.128% | 1      |  1.474% | 
 | 56   | Dodrio             |  2.12766% | 2      |  2.128% | 1      |  1.474% | 
 | 57   | Scizor             |  2.12766% | 2      |  2.128% | 1      |  1.474% | 
 | 58   | Ninjask            |  2.12766% | 2      |  2.128% | 1      |  1.474% | 
 | 59   | Miltank            |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 60   | Pikachu            |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 61   | Lotad              |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 62   | Claydol            |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 63   | Wingull            |  2.12766% | 2      |  2.128% | 2      |  2.948% | 
 | 64   | Linoone            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 65   | Mudkip             |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 66   | Marshtomp          |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 67   | Tauros             |  1.06383% | 1      |  1.064% | 0      |  0.000% | 
 | 68   | Crobat             |  1.06383% | 1      |  1.064% | 0      |  0.000% | 
 | 69   | Chansey            |  1.06383% | 1      |  1.064% | 0      |  0.000% | 
 | 70   | Relicanth          |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 71   | Wailord            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 72   | Taillow            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 73   | Pidgeot            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 74   | Tentacruel         |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 75   | Dugtrio            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 76   | Typhlosion         |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 77   | Abra               |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 78   | Flareon            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 79   | Registeel          |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 80   | Deoxys-Speed       |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 81   | Poochyena          |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 82   | Flygon             |  1.06383% | 1      |  1.064% | 0      |  0.000% | 
 | 83   | Steelix            |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 84   | Regice             |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 85   | Azumarill          |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 86   | Vileplume          |  1.06383% | 1      |  1.064% | 0      |  0.000% | 
 | 87   | Camerupt           |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 88   | Magneton           |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 | 89   | Shedinja           |  1.06383% | 1      |  1.064% | 1      |  1.474% | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
