 Total battles: 26353
 Avg. weight/team: 0.025
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Latios             | 48.86905% | 14561  | 27.627% | 10716  | 26.447% | 
 | 2    | Tyranitar          | 41.49893% | 10340  | 19.618% | 8542   | 21.082% | 
 | 3    | Ferrothorn         | 34.60020% | 15806  | 29.989% | 13723  | 33.868% | 
 | 4    | Landorus-Therian   | 32.07087% | 7760   | 14.723% | 6528   | 16.111% | 
 | 5    | Politoed           | 27.01666% | 11603  | 22.015% | 10177  | 25.117% | 
 | 6    | Garchomp           | 22.63498% | 10713  | 20.326% | 8218   | 20.282% | 
 | 7    | Jirachi            | 22.57272% | 7707   | 14.623% | 6450   | 15.919% | 
 | 8    | Excadrill          | 20.98454% | 7516   | 14.260% | 5455   | 13.463% | 
 | 9    | Skarmory           | 19.19463% | 4585   |  8.699% | 3844   |  9.487% | 
 | 10   | Jellicent          | 18.46132% | 4463   |  8.468% | 3491   |  8.616% | 
 | 11   | Tentacruel         | 18.31982% | 8499   | 16.125% | 6247   | 15.418% | 
 | 12   | Rotom-Wash         | 15.73987% | 6136   | 11.642% | 5086   | 12.552% | 
 | 13   | Magnezone          | 15.06050% | 7462   | 14.158% | 5876   | 14.502% | 
 | 14   | Keldeo             | 14.83645% | 8500   | 16.127% | 5924   | 14.620% | 
 | 15   | Dragonite          | 14.45370% | 7278   | 13.809% | 5244   | 12.942% | 
 | 16   | Alakazam           | 13.91096% | 4504   |  8.546% | 3185   |  7.861% | 
 | 17   | Starmie            | 13.80355% | 6005   | 11.393% | 4342   | 10.716% | 
 | 18   | Thundurus-Therian  | 12.73651% | 5934   | 11.259% | 4419   | 10.906% | 
 | 19   | Scizor             | 12.47617% | 7669   | 14.551% | 5810   | 14.339% | 
 | 20   | Breloom            | 12.33340% | 4837   |  9.177% | 3736   |  9.220% | 
 | 21   | Mamoswine          | 12.03937% | 3217   |  6.104% | 2458   |  6.066% | 
 | 22   | Reuniclus          |  9.76516% | 3640   |  6.906% | 2738   |  6.757% | 
 | 23   | Heatran            |  9.24555% | 4310   |  8.177% | 3424   |  8.450% | 
 | 24   | Gliscor            |  8.39882% | 4932   |  9.358% | 3776   |  9.319% | 
 | 25   | Kyurem-Black       |  8.18650% | 5027   |  9.538% | 3644   |  8.993% | 
 | 26   | Tornadus           |  7.08414% | 1868   |  3.544% | 1383   |  3.413% | 
 | 27   | Seismitoad         |  6.56614% | 587    |  1.114% | 507    |  1.251% | 
 | 28   | Celebi             |  5.81158% | 2324   |  4.409% | 1873   |  4.623% | 
 | 29   | Volcarona          |  5.34385% | 5726   | 10.864% | 4159   | 10.264% | 
 | 30   | Terrakion          |  5.11666% | 2392   |  4.538% | 1744   |  4.304% | 
 | 31   | Toxicroak          |  4.92717% | 2081   |  3.948% | 1518   |  3.746% | 
 | 32   | Mew                |  4.90379% | 906    |  1.719% | 757    |  1.868% | 
 | 33   | Vaporeon           |  4.17359% | 1276   |  2.421% | 952    |  2.350% | 
 | 34   | Claydol            |  3.76026% | 389    |  0.738% | 369    |  0.911% | 
 | 35   | Latias             |  3.70190% | 1634   |  3.100% | 1202   |  2.967% | 
 | 36   | Amoonguss          |  3.44756% | 1021   |  1.937% | 799    |  1.972% | 
 | 37   | Salamence          |  3.38236% | 3710   |  7.039% | 2679   |  6.612% | 
 | 38   | Gyarados           |  3.23318% | 3625   |  6.878% | 2736   |  6.752% | 
 | 39   | Lucario            |  2.96077% | 2281   |  4.328% | 1626   |  4.013% | 
 | 40   | Gastrodon          |  2.84339% | 2200   |  4.174% | 1748   |  4.314% | 
 | 41   | Abomasnow          |  2.68863% | 1043   |  1.979% | 955    |  2.357% | 
 | 42   | Hippowdon          |  2.55972% | 1838   |  3.487% | 1594   |  3.934% | 
 | 43   | Hydreigon          |  2.45660% | 4508   |  8.553% | 3211   |  7.925% | 
 | 44   | Forretress         |  2.45417% | 2056   |  3.901% | 1768   |  4.363% | 
 | 45   | Gengar             |  2.41798% | 3066   |  5.817% | 2249   |  5.551% | 
 | 46   | Kyurem             |  2.32214% | 715    |  1.357% | 503    |  1.241% | 
 | 47   | Ninetales          |  2.21260% | 2007   |  3.808% | 1726   |  4.260% | 
 | 48   | Chansey            |  2.20790% | 1493   |  2.833% | 1127   |  2.781% | 
 | 49   | Conkeldurr         |  2.07979% | 4149   |  7.872% | 3058   |  7.547% | 
 | 50   | Slowking           |  1.98485% | 369    |  0.700% | 299    |  0.738% | 
 | 51   | Kingdra            |  1.95571% | 798    |  1.514% | 611    |  1.508% | 
 | 52   | Cresselia          |  1.78744% | 632    |  1.199% | 508    |  1.254% | 
 | 53   | Quagsire           |  1.47966% | 301    |  0.571% | 222    |  0.548% | 
 | 54   | Xatu               |  1.36555% | 554    |  1.051% | 440    |  1.086% | 
 | 55   | Swampert           |  1.24059% | 870    |  1.651% | 725    |  1.789% | 
 | 56   | Bronzong           |  1.22302% | 657    |  1.247% | 581    |  1.434% | 
 | 57   | Haxorus            |  1.15764% | 2662   |  5.051% | 1839   |  4.539% | 
 | 58   | Metagross          |  1.06879% | 1714   |  3.252% | 1280   |  3.159% | 
 | 59   | Cloyster           |  1.01831% | 2612   |  4.956% | 1877   |  4.632% | 
 | 60   | Nidoking           |  0.88011% | 462    |  0.877% | 357    |  0.881% | 
 | 61   | Tangrowth          |  0.73619% | 329    |  0.624% | 240    |  0.592% | 
 | 62   | Blissey            |  0.70966% | 1886   |  3.578% | 1407   |  3.472% | 
 | 63   | Azelf              |  0.68821% | 362    |  0.687% | 322    |  0.795% | 
 | 64   | Sharpedo           |  0.67064% | 556    |  1.055% | 399    |  0.985% | 
 | 65   | Misdreavus         |  0.65741% | 50     |  0.095% | 43     |  0.106% | 
 | 66   | Donphan            |  0.61707% | 749    |  1.421% | 612    |  1.510% | 
 | 67   | Victini            |  0.57984% | 753    |  1.429% | 567    |  1.399% | 
 | 68   | Suicune            |  0.55237% | 216    |  0.410% | 154    |  0.380% | 
 | 69   | Staraptor          |  0.53678% | 867    |  1.645% | 637    |  1.572% | 
 | 70   | Weavile            |  0.53121% | 1017   |  1.930% | 731    |  1.804% | 
 | 71   | Mienshao           |  0.47042% | 1316   |  2.497% | 1111   |  2.742% | 
 | 72   | Zapdos             |  0.45745% | 635    |  1.205% | 496    |  1.224% | 
 | 73   | Moltres            |  0.39103% | 151    |  0.286% | 122    |  0.301% | 
 | 74   | Aerodactyl         |  0.38550% | 333    |  0.632% | 279    |  0.689% | 
 | 75   | Froslass           |  0.35147% | 510    |  0.968% | 413    |  1.019% | 
 | 76   | Espeon             |  0.33376% | 2036   |  3.863% | 1579   |  3.897% | 
 | 77   | Whimsicott         |  0.33016% | 545    |  1.034% | 460    |  1.135% | 
 | 78   | Sableye            |  0.32996% | 565    |  1.072% | 462    |  1.140% | 
 | 79   | Alomomola          |  0.30646% | 178    |  0.338% | 142    |  0.350% | 
 | 80   | Azumarill          |  0.29552% | 309    |  0.586% | 240    |  0.592% | 
 | 81   | Jolteon            |  0.28542% | 2238   |  4.246% | 1709   |  4.218% | 
 | 82   | Archeops           |  0.26842% | 496    |  0.941% | 399    |  0.985% | 
 | 83   | Infernape          |  0.26522% | 3385   |  6.422% | 2546   |  6.284% | 
 | 84   | Uxie               |  0.25884% | 124    |  0.235% | 113    |  0.279% | 
 | 85   | Medicham           |  0.25500% | 151    |  0.286% | 124    |  0.306% | 
 | 86   | Scrafty            |  0.25328% | 447    |  0.848% | 351    |  0.866% | 
 | 87   | Crobat             |  0.24760% | 588    |  1.116% | 472    |  1.165% | 
 | 88   | Omastar            |  0.23929% | 141    |  0.268% | 92     |  0.227% | 
 | 89   | Gorebyss           |  0.23151% | 24     |  0.046% | 18     |  0.044% | 
 | 90   | Slowbro            |  0.22543% | 474    |  0.899% | 384    |  0.948% | 
 | 91   | Raikou             |  0.21318% | 441    |  0.837% | 305    |  0.753% | 
 | 92   | Rotom-Mow          |  0.20864% | 260    |  0.493% | 211    |  0.521% | 
 | 93   | Ditto              |  0.20211% | 326    |  0.619% | 223    |  0.550% | 
 | 94   | Virizion           |  0.19703% | 287    |  0.545% | 211    |  0.521% | 
 | 95   | Porygon2           |  0.18979% | 783    |  1.486% | 613    |  1.513% | 
 | 96   | Empoleon           |  0.16454% | 455    |  0.863% | 340    |  0.839% | 
 | 97   | Walrein            |  0.15579% | 154    |  0.292% | 121    |  0.299% | 
 | 98   | Meloetta           |  0.15569% | 288    |  0.546% | 218    |  0.538% | 
 | 99   | Togekiss           |  0.15209% | 1211   |  2.298% | 897    |  2.214% | 
 | 100  | Zoroark            |  0.15108% | 760    |  1.442% | 256    |  0.632% | 
 | 101  | Clefable           |  0.13973% | 275    |  0.522% | 214    |  0.528% | 
 | 102  | Liepard            |  0.12771% | 131    |  0.249% | 108    |  0.267% | 
 | 103  | Arbok              |  0.12715% | 42     |  0.080% | 31     |  0.077% | 
 | 104  | Bisharp            |  0.12437% | 630    |  1.195% | 449    |  1.108% | 
 | 105  | Chandelure         |  0.11917% | 1587   |  3.011% | 1195   |  2.949% | 
 | 106  | Gallade            |  0.11615% | 457    |  0.867% | 316    |  0.780% | 
 | 107  | Shaymin            |  0.11013% | 93     |  0.176% | 68     |  0.168% | 
 | 108  | Lanturn            |  0.08931% | 279    |  0.529% | 218    |  0.538% | 
 | 109  | Cofagrigus         |  0.08534% | 1075   |  2.040% | 827    |  2.041% | 
 | 110  | Yanmega            |  0.08130% | 268    |  0.508% | 201    |  0.496% | 
 | 111  | Darmanitan         |  0.07092% | 1046   |  1.985% | 825    |  2.036% | 
 | 112  | Spiritomb          |  0.06598% | 402    |  0.763% | 337    |  0.832% | 
 | 113  | Dusclops           |  0.06346% | 513    |  0.973% | 408    |  1.007% | 
 | 114  | Arcanine           |  0.06329% | 873    |  1.656% | 634    |  1.565% | 
 | 115  | Machamp            |  0.06189% | 708    |  1.343% | 576    |  1.422% | 
 | 116  | Venusaur           |  0.05521% | 671    |  1.273% | 486    |  1.199% | 
 | 117  | Mismagius          |  0.05448% | 195    |  0.370% | 155    |  0.383% | 
 | 118  | Hitmontop          |  0.05296% | 293    |  0.556% | 227    |  0.560% | 
 | 119  | Krookodile         |  0.05134% | 971    |  1.842% | 729    |  1.799% | 
 | 120  | Scolipede          |  0.04653% | 226    |  0.429% | 174    |  0.429% | 
 | 121  | Durant             |  0.04355% | 177    |  0.336% | 128    |  0.316% | 
 | 122  | Rotom-Heat         |  0.04281% | 635    |  1.205% | 451    |  1.113% | 
 | 123  | Riolu              |  0.04193% | 230    |  0.436% | 163    |  0.402% | 
 | 124  | Milotic            |  0.04105% | 1248   |  2.368% | 912    |  2.251% | 
 | 125  | Rotom              |  0.03354% | 66     |  0.125% | 59     |  0.146% | 
 | 126  | Articuno           |  0.03328% | 44     |  0.083% | 34     |  0.084% | 
 | 127  | Electivire         |  0.03150% | 435    |  0.825% | 372    |  0.918% | 
 | 128  | Throh              |  0.03100% | 19     |  0.036% | 17     |  0.042% | 
 | 129  | Cacturne           |  0.02726% | 71     |  0.135% | 60     |  0.148% | 
 | 130  | Golurk             |  0.02715% | 327    |  0.620% | 264    |  0.652% | 
 | 131  | Exeggutor          |  0.02706% | 281    |  0.533% | 221    |  0.545% | 
 | 132  | Drapion            |  0.02652% | 302    |  0.573% | 223    |  0.550% | 
 | 133  | Garbodor           |  0.02514% | 96     |  0.182% | 90     |  0.222% | 
 | 134  | Feraligatr         |  0.02438% | 233    |  0.442% | 169    |  0.417% | 
 | 135  | Umbreon            |  0.02349% | 842    |  1.598% | 657    |  1.621% | 
 | 136  | Honchkrow          |  0.02309% | 349    |  0.662% | 268    |  0.661% | 
 | 137  | Roserade           |  0.02113% | 565    |  1.072% | 431    |  1.064% | 
 | 138  | Eelektross         |  0.02106% | 829    |  1.573% | 689    |  1.700% | 
 | 139  | Magneton           |  0.02033% | 166    |  0.315% | 131    |  0.323% | 
 | 140  | Sceptile           |  0.01893% | 441    |  0.837% | 334    |  0.824% | 
 | 141  | Lilligant          |  0.01832% | 247    |  0.469% | 194    |  0.479% | 
 | 142  | Stoutland          |  0.01704% | 172    |  0.326% | 134    |  0.331% | 
 | 143  | Aggron             |  0.01581% | 504    |  0.956% | 371    |  0.916% | 
 | 144  | Venomoth           |  0.01553% | 89     |  0.169% | 61     |  0.151% | 
 | 145  | Crawdaunt          |  0.01550% | 65     |  0.123% | 46     |  0.114% | 
 | 146  | Swellow            |  0.01445% | 417    |  0.791% | 302    |  0.745% | 
 | 147  | Probopass          |  0.01394% | 124    |  0.235% | 90     |  0.222% | 
 | 148  | Sigilyph           |  0.01348% | 425    |  0.806% | 297    |  0.733% | 
 | 149  | Snorlax            |  0.01283% | 584    |  1.108% | 435    |  1.074% | 
 | 150  | Mandibuzz          |  0.01218% | 431    |  0.818% | 324    |  0.800% | 
 | 151  | Murkrow            |  0.01211% | 38     |  0.072% | 31     |  0.077% | 
 | 152  | Hitmonlee          |  0.01141% | 298    |  0.565% | 205    |  0.506% | 
 | 153  | Shiftry            |  0.01113% | 30     |  0.057% | 24     |  0.059% | 
 | 154  | Ninjask            |  0.00963% | 310    |  0.588% | 260    |  0.642% | 
 | 155  | Heracross          |  0.00932% | 431    |  0.818% | 312    |  0.770% | 
 | 156  | Kabutops           |  0.00871% | 124    |  0.235% | 80     |  0.197% | 
 | 157  | Typhlosion         |  0.00844% | 214    |  0.406% | 160    |  0.395% | 
 | 158  | Carracosta         |  0.00841% | 108    |  0.205% | 89     |  0.220% | 
 | 159  | Ludicolo           |  0.00739% | 274    |  0.520% | 219    |  0.540% | 
 | 160  | Hypno              |  0.00737% | 25     |  0.047% | 22     |  0.054% | 
 | 161  | Simipour           |  0.00672% | 96     |  0.182% | 76     |  0.188% | 
 | 162  | Druddigon          |  0.00651% | 233    |  0.442% | 192    |  0.474% | 
 | 163  | Simisage           |  0.00618% | 78     |  0.148% | 65     |  0.160% | 
 | 164  | Simisear           |  0.00618% | 59     |  0.112% | 45     |  0.111% | 
 | 165  | Emboar             |  0.00570% | 399    |  0.757% | 304    |  0.750% | 
 | 166  | Escavalier         |  0.00558% | 147    |  0.279% | 108    |  0.267% | 
 | 167  | Glaceon            |  0.00541% | 185    |  0.351% | 140    |  0.346% | 
 | 168  | Cryogonal          |  0.00509% | 99     |  0.188% | 75     |  0.185% | 
 | 169  | Lapras             |  0.00503% | 399    |  0.757% | 275    |  0.679% | 
 | 170  | Entei              |  0.00471% | 36     |  0.068% | 27     |  0.067% | 
 | 171  | Nidoqueen          |  0.00466% | 84     |  0.159% | 71     |  0.175% | 
 | 172  | Weezing            |  0.00463% | 87     |  0.165% | 61     |  0.151% | 
 | 173  | Floatzel           |  0.00456% | 67     |  0.127% | 50     |  0.123% | 
 | 174  | Linoone            |  0.00456% | 38     |  0.072% | 30     |  0.074% | 
 | 175  | Furret             |  0.00456% | 33     |  0.063% | 24     |  0.059% | 
 | 176  | Porygon-Z          |  0.00417% | 300    |  0.569% | 212    |  0.523% | 
 | 177  | Wobbuffet          |  0.00401% | 99     |  0.188% | 75     |  0.185% | 
 | 178  | Serperior          |  0.00393% | 475    |  0.901% | 376    |  0.928% | 
 | 179  | Electrode          |  0.00384% | 61     |  0.116% | 55     |  0.136% | 
 | 180  | Audino             |  0.00331% | 66     |  0.125% | 56     |  0.138% | 
 | 181  | Charizard          |  0.00318% | 600    |  1.138% | 397    |  0.980% | 
 | 182  | Meganium           |  0.00300% | 34     |  0.065% | 21     |  0.052% | 
 | 183  | Rampardos          |  0.00299% | 163    |  0.309% | 119    |  0.294% | 
 | 184  | Mesprit            |  0.00289% | 13     |  0.025% | 11     |  0.027% | 
 | 185  | Dusknoir           |  0.00287% | 155    |  0.294% | 124    |  0.306% | 
 | 186  | Blastoise          |  0.00284% | 525    |  0.996% | 401    |  0.990% | 
 | 187  | Hariyama           |  0.00284% | 49     |  0.093% | 38     |  0.094% | 
 | 188  | Torterra           |  0.00277% | 138    |  0.262% | 106    |  0.262% | 
 | 189  | Whiscash           |  0.00275% | 47     |  0.089% | 36     |  0.089% | 
 | 190  | Aron               |  0.00269% | 88     |  0.167% | 58     |  0.143% | 
 | 191  | Musharna           |  0.00266% | 113    |  0.214% | 101    |  0.249% | 
 | 192  | Tauros             |  0.00265% | 98     |  0.186% | 57     |  0.141% | 
 | 193  | Pidgeot            |  0.00264% | 68     |  0.129% | 43     |  0.106% | 
 | 194  | Dragonair          |  0.00257% | 27     |  0.051% | 22     |  0.054% | 
 | 195  | Galvantula         |  0.00250% | 296    |  0.562% | 222    |  0.548% | 
 | 196  | Miltank            |  0.00247% | 121    |  0.230% | 93     |  0.230% | 
 | 197  | Wartortle          |  0.00230% | 10     |  0.019% | 9      |  0.022% | 
 | 198  | Regirock           |  0.00225% | 30     |  0.057% | 25     |  0.062% | 
 | 199  | Rhyperior          |  0.00215% | 227    |  0.431% | 169    |  0.417% | 
 | 200  | Braviary           |  0.00211% | 268    |  0.508% | 197    |  0.486% | 
 | 201  | Crustle            |  0.00209% | 187    |  0.355% | 154    |  0.380% | 
 | 202  | Mantine            |  0.00181% | 58     |  0.110% | 44     |  0.109% | 
 | 203  | Rhydon             |  0.00179% | 160    |  0.304% | 129    |  0.318% | 
 | 204  | Shedinja           |  0.00170% | 138    |  0.262% | 89     |  0.220% | 
 | 205  | Ursaring           |  0.00162% | 206    |  0.391% | 153    |  0.378% | 
 | 206  | Marowak            |  0.00147% | 72     |  0.137% | 52     |  0.128% | 
 | 207  | Cobalion           |  0.00138% | 99     |  0.188% | 79     |  0.195% | 
 | 208  | Shuckle            |  0.00130% | 231    |  0.438% | 200    |  0.494% | 
 | 209  | Octillery          |  0.00118% | 27     |  0.051% | 22     |  0.054% | 
 | 210  | Samurott           |  0.00104% | 625    |  1.186% | 476    |  1.175% | 
 | 211  | Slaking            |  0.00104% | 97     |  0.184% | 77     |  0.190% | 
 | 212  | Spinda             |  0.00097% | 20     |  0.038% | 18     |  0.044% | 
 | 213  | Ferroseed          |  0.00086% | 54     |  0.102% | 37     |  0.091% | 
 | 214  | Flygon             |  0.00082% | 368    |  0.698% | 272    |  0.671% | 
 | 215  | Dugtrio            |  0.00079% | 122    |  0.231% | 83     |  0.205% | 
 | 216  | Heatmor            |  0.00077% | 59     |  0.112% | 52     |  0.128% | 
 | 217  | Zebstrika          |  0.00075% | 135    |  0.256% | 110    |  0.271% | 
 | 218  | Sawsbuck           |  0.00074% | 107    |  0.203% | 74     |  0.183% | 
 | 219  | Ampharos           |  0.00071% | 185    |  0.351% | 140    |  0.346% | 
 | 220  | Gardevoir          |  0.00069% | 311    |  0.590% | 235    |  0.580% | 
 | 221  | Rotom-Frost        |  0.00068% | 105    |  0.199% | 87     |  0.215% | 
 | 222  | Bouffalant         |  0.00063% | 108    |  0.205% | 82     |  0.202% | 
 | 223  | Ambipom            |  0.00062% | 353    |  0.670% | 285    |  0.703% | 
 | 224  | Manectric          |  0.00062% | 235    |  0.446% | 185    |  0.457% | 
 | 225  | Armaldo            |  0.00056% | 129    |  0.245% | 82     |  0.202% | 
 | 226  | Vespiquen          |  0.00054% | 12     |  0.023% | 9      |  0.022% | 
 | 227  | Torkoal            |  0.00052% | 127    |  0.241% | 95     |  0.234% | 
 | 228  | Leafeon            |  0.00046% | 104    |  0.197% | 74     |  0.183% | 
 | 229  | Rotom-Fan          |  0.00041% | 50     |  0.095% | 38     |  0.094% | 
 | 230  | Mr. Mime           |  0.00037% | 20     |  0.038% | 14     |  0.035% | 
 | 231  | Pikachu            |  0.00037% | 303    |  0.575% | 204    |  0.503% | 
 | 232  | Palpitoad          |  0.00036% | 62     |  0.118% | 46     |  0.114% | 
 | 233  | Gigalith           |  0.00032% | 108    |  0.205% | 90     |  0.222% | 
 | 234  | Cinccino           |  0.00023% | 139    |  0.264% | 107    |  0.264% | 
 | 235  | Vanilluxe          |  0.00023% | 88     |  0.167% | 60     |  0.148% | 
 | 236  | Kingler            |  0.00022% | 41     |  0.078% | 33     |  0.081% | 
 | 237  | Bastiodon          |  0.00022% | 17     |  0.032% | 15     |  0.037% | 
 | 238  | Swalot             |  0.00021% | 6      |  0.011% | 3      |  0.007% | 
 | 239  | Cradily            |  0.00020% | 184    |  0.349% | 157    |  0.387% | 
 | 240  | Gligar             |  0.00018% | 65     |  0.123% | 55     |  0.136% | 
 | 241  | Houndoom           |  0.00017% | 306    |  0.581% | 226    |  0.558% | 
 | 242  | Emolga             |  0.00016% | 128    |  0.243% | 109    |  0.269% | 
 | 243  | Klinklang          |  0.00015% | 106    |  0.201% | 89     |  0.220% | 
 | 244  | Volbeat            |  0.00014% | 61     |  0.116% | 48     |  0.118% | 
 | 245  | Pansear            |  0.00013% | 5      |  0.009% | 4      |  0.010% | 
 | 246  | Pansage            |  0.00013% | 5      |  0.009% | 4      |  0.010% | 
 | 247  | Panpour            |  0.00013% | 5      |  0.009% | 4      |  0.010% | 
 | 248  | Jumpluff           |  0.00013% | 21     |  0.040% | 15     |  0.037% | 
 | 249  | Regice             |  0.00012% | 78     |  0.148% | 56     |  0.138% | 
 | 250  | Gothitelle         |  0.00012% | 57     |  0.108% | 46     |  0.114% | 
 | 251  | Accelgor           |  0.00011% | 113    |  0.214% | 86     |  0.212% | 
 | 252  | Drifblim           |  0.00009% | 77     |  0.146% | 51     |  0.126% | 
 | 253  | Glalie             |  0.00009% | 41     |  0.078% | 32     |  0.079% | 
 | 254  | Absol              |  0.00008% | 105    |  0.199% | 76     |  0.188% | 
 | 255  | Jynx               |  0.00007% | 106    |  0.201% | 67     |  0.165% | 
 | 256  | Zangoose           |  0.00007% | 115    |  0.218% | 80     |  0.197% | 
 | 257  | Pelipper           |  0.00007% | 153    |  0.290% | 134    |  0.331% | 
 | 258  | Flareon            |  0.00007% | 127    |  0.241% | 103    |  0.254% | 
 | 259  | Magikarp           |  0.00007% | 44     |  0.083% | 21     |  0.052% | 
 | 260  | Magmortar          |  0.00007% | 95     |  0.180% | 70     |  0.173% | 
 | 261  | Sawk               |  0.00007% | 69     |  0.131% | 55     |  0.136% | 
 | 262  | Lickilicky         |  0.00006% | 105    |  0.199% | 79     |  0.195% | 
 | 263  | Leavanny           |  0.00006% | 109    |  0.207% | 86     |  0.212% | 
 | 264  | Gurdurr            |  0.00006% | 55     |  0.104% | 45     |  0.111% | 
 | 265  | Piloswine          |  0.00006% | 22     |  0.042% | 16     |  0.039% | 
 | 266  | Registeel          |  0.00005% | 70     |  0.133% | 54     |  0.133% | 
 | 267  | Dewgong            |  0.00005% | 52     |  0.099% | 38     |  0.094% | 
 | 268  | Smeargle           |  0.00005% | 137    |  0.260% | 107    |  0.264% | 
 | 269  | Hitmonchan         |  0.00005% | 92     |  0.175% | 68     |  0.168% | 
 | 270  | Swoobat            |  0.00004% | 152    |  0.288% | 115    |  0.284% | 
 | 271  | Slowpoke           |  0.00003% | 4      |  0.008% | 2      |  0.005% | 
 | 272  | Steelix            |  0.00003% | 71     |  0.135% | 59     |  0.146% | 
 | 273  | Lunatone           |  0.00003% | 2      |  0.004% | 1      |  0.002% | 
 | 274  | Muk                |  0.00002% | 95     |  0.180% | 74     |  0.183% | 
 | 275  | Primeape           |  0.00002% | 57     |  0.108% | 46     |  0.114% | 
 | 276  | Monferno           |  0.00002% | 5      |  0.009% | 4      |  0.010% | 
 | 277  | Zweilous           |  0.00002% | 4      |  0.008% | 3      |  0.007% | 
 | 278  | Grotle             |  0.00002% | 7      |  0.013% | 7      |  0.017% | 
 | 279  | Tranquill          |  0.00002% | 7      |  0.013% | 6      |  0.015% | 
 | 280  | Meditite           |  0.00002% | 1      |  0.002% | 1      |  0.002% | 
 | 281  | Beartic            |  0.00002% | 45     |  0.085% | 37     |  0.091% | 
 | 282  | Raichu             |  0.00002% | 67     |  0.127% | 49     |  0.121% | 
 | 283  | Victreebel         |  0.00002% | 17     |  0.032% | 15     |  0.037% | 
 | 284  | Qwilfish           |  0.00002% | 47     |  0.089% | 31     |  0.077% | 
 | 285  | Poliwrath          |  0.00002% | 85     |  0.161% | 66     |  0.163% | 
 | 286  | Fearow             |  0.00002% | 34     |  0.065% | 19     |  0.047% | 
 | 287  | Dustox             |  0.00002% | 6      |  0.011% | 3      |  0.007% | 
