 Total battles: 236642
 Avg. weight/team: 0.588
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Calyrex-Shadow     | 29.14796% | 100170 | 21.165% | 73932  | 23.298% | 
 | 2    | Miraidon           | 21.88847% | 78676  | 16.623% | 52724  | 16.615% | 
 | 3    | Zacian-Crowned     | 19.90758% | 74064  | 15.649% | 49626  | 15.638% | 
 | 4    | Arceus             | 17.49860% | 55362  | 11.697% | 35404  | 11.157% | 
 | 5    | Koraidon           | 16.10305% | 54876  | 11.595% | 37961  | 11.962% | 
 | 6    | Kyogre             | 11.86536% | 41990  |  8.872% | 28266  |  8.907% | 
 | 7    | Regieleki          |  9.83018% | 42460  |  8.971% | 28930  |  9.117% | 
 | 8    | Basculegion        |  8.50815% | 34516  |  7.293% | 19070  |  6.009% | 
 | 9    | Ditto              |  8.48214% | 36949  |  7.807% | 15843  |  4.993% | 
 | 10   | Flutter Mane       |  8.21705% | 32305  |  6.826% | 22300  |  7.027% | 
 | 11   | Annihilape         |  7.77378% | 40678  |  8.595% | 25383  |  7.999% | 
 | 12   | Espathra           |  7.58142% | 34627  |  7.316% | 25413  |  8.008% | 
 | 13   | Chien-Pao          |  7.52146% | 29561  |  6.246% | 19860  |  6.258% | 
 | 14   | Glimmora           |  7.47917% | 32841  |  6.939% | 27982  |  8.818% | 
 | 15   | Kingambit          |  7.33381% | 32550  |  6.877% | 19997  |  6.302% | 
 | 16   | Ting-Lu            |  7.32810% | 26129  |  5.521% | 20352  |  6.413% | 
 | 17   | Maushold           |  7.17440% | 46809  |  9.890% | 21793  |  6.868% | 
 | 18   | Clodsire           |  6.75936% | 29746  |  6.285% | 22569  |  7.112% | 
 | 19   | Toxapex            |  6.60149% | 27140  |  5.734% | 20896  |  6.585% | 
 | 20   | Great Tusk         |  6.35495% | 23451  |  4.955% | 16492  |  5.197% | 
 | 21   | Dragapult          |  6.28772% | 31814  |  6.722% | 21754  |  6.855% | 
 | 22   | Skeledirge         |  6.12458% | 26951  |  5.694% | 19134  |  6.030% | 
 | 23   | Palafin            |  6.06703% | 28453  |  6.012% | 22925  |  7.224% | 
 | 24   | Eternatus          |  6.02749% | 22658  |  4.787% | 14772  |  4.655% | 
 | 25   | Arceus-Ground      |  5.95731% | 17713  |  3.743% | 12473  |  3.931% | 
 | 26   | Ceruledge          |  5.53722% | 28085  |  5.934% | 20211  |  6.369% | 
 | 27   | Gholdengo          |  5.53542% | 24545  |  5.186% | 16342  |  5.150% | 
 | 28   | Grimmsnarl         |  5.40803% | 21738  |  4.593% | 17269  |  5.442% | 
 | 29   | Iron Bundle        |  5.13538% | 20325  |  4.294% | 13795  |  4.347% | 
 | 30   | Meowscarada        |  4.99288% | 24196  |  5.112% | 17254  |  5.437% | 
 | 31   | Corviknight        |  4.95292% | 20873  |  4.410% | 14916  |  4.700% | 
 | 32   | Garganacl          |  4.94607% | 23580  |  4.982% | 15106  |  4.760% | 
 | 33   | Ursaluna           |  4.93788% | 23571  |  4.980% | 15855  |  4.996% | 
