 Total battles: 426662
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ogerpon-Hearthflame | 16.38487% | 139816 | 16.385% | 101717 | 15.936% | 
 | 2    | Gholdengo          | 13.75210% | 117350 | 13.752% | 84576  | 13.250% | 
 | 3    | Great Tusk         | 12.85537% | 109698 | 12.855% | 80150  | 12.557% | 
 | 4    | Baxcalibur         | 11.02664% | 94093  | 11.027% | 66583  | 10.432% | 
 | 5    | Landorus-Therian   |  9.75116% | 83209  |  9.751% | 70179  | 10.995% | 
 | 6    | Zapdos             |  8.44228% | 72040  |  8.442% | 56373  |  8.832% | 
 | 7    | Dragonite          |  8.42283% | 71874  |  8.423% | 51537  |  8.074% | 
 | 8    | Charizard-Mega-Y   |  8.38369% | 71540  |  8.384% | 55069  |  8.628% | 
 | 9    | Ferrothorn         |  8.25419% | 70435  |  8.254% | 57319  |  8.980% | 
 | 10   | Greninja           |  8.21177% | 70073  |  8.212% | 51144  |  8.013% | 
 | 11   | Sneasler           |  8.13442% | 69413  |  8.134% | 48573  |  7.610% | 
 | 12   | Rillaboom          |  7.74208% | 66065  |  7.742% | 50549  |  7.919% | 
 | 13   | Heatran            |  7.59465% | 64807  |  7.595% | 50435  |  7.902% | 
 | 14   | Scizor-Mega        |  7.51133% | 64096  |  7.511% | 48865  |  7.656% | 
 | 15   | Gliscor            |  7.39168% | 63075  |  7.392% | 47980  |  7.517% | 
 | 16   | Urshifu-Rapid-Strike |  7.31328% | 62406  |  7.313% | 47422  |  7.430% | 
 | 17   | Ursaluna-Bloodmoon |  7.28586% | 62172  |  7.286% | 45220  |  7.085% | 
 | 18   | Garchomp           |  6.74796% | 57582  |  6.748% | 44736  |  7.009% | 
 | 19   | Tapu Koko          |  6.67718% | 56978  |  6.677% | 47978  |  7.517% | 
 | 20   | Iron Valiant       |  6.55484% | 55934  |  6.555% | 37236  |  5.834% | 
 | 21   | Volcarona          |  6.50855% | 55539  |  6.509% | 38595  |  6.047% | 
 | 22   | Lopunny-Mega       |  6.33312% | 54042  |  6.333% | 42862  |  6.715% | 
 | 23   | Tapu Lele          |  6.05596% | 51677  |  6.056% | 39225  |  6.145% | 
 | 24   | Toxapex            |  6.02444% | 51408  |  6.024% | 39150  |  6.134% | 
 | 25   | Corviknight        |  5.74401% | 49015  |  5.744% | 36930  |  5.786% | 
 | 26   | Hatterene          |  5.44518% | 46465  |  5.445% | 34938  |  5.474% | 
 | 27   | Samurott-Hisui     |  5.40885% | 46155  |  5.409% | 38372  |  6.012% | 
 | 28   | Kommo-o            |  5.31381% | 45344  |  5.314% | 33460  |  5.242% | 
 | 29   | Rotom-Wash         |  5.26365% | 44916  |  5.264% | 36362  |  5.697% | 
 | 30   | Diancie-Mega       |  5.24631% | 44768  |  5.246% | 35838  |  5.615% | 
 | 31   | Pelipper           |  5.16779% | 44098  |  5.168% | 40326  |  6.318% | 
 | 32   | Garganacl          |  5.07474% | 43304  |  5.075% | 32406  |  5.077% | 
 | 33   | Ninetales-Alola    |  5.03642% | 42977  |  5.036% | 36717  |  5.752% | 
 | 34   | Glimmora           |  4.85736% | 41449  |  4.857% | 37323  |  5.847% | 
 | 35   | Kartana            |  4.64560% | 39642  |  4.646% | 28280  |  4.431% | 
 | 36   | Clodsire           |  4.61407% | 39373  |  4.614% | 29948  |  4.692% | 
 | 37   | Charizard-Mega-X   |  4.39716% | 37522  |  4.397% | 28212  |  4.420% | 
 | 38   | Swampert-Mega      |  4.04618% | 34527  |  4.046% | 26929  |  4.219% | 
 | 39   | Moltres            |  4.03563% | 34437  |  4.036% | 27420  |  4.296% | 
 | 40   | Sinistcha          |  3.61375% | 30837  |  3.614% | 21689  |  3.398% | 
 | 41   | Grimmsnarl         |  3.59207% | 30652  |  3.592% | 26566  |  4.162% | 
 | 42   | Serperior          |  3.46375% | 29557  |  3.464% | 21474  |  3.364% | 
 | 43   | Torkoal            |  3.43973% | 29352  |  3.440% | 25896  |  4.057% | 
 | 44   | Blaziken           |  3.43703% | 29329  |  3.437% | 21193  |  3.320% | 
 | 45   | Torterra           |  3.03214% | 25874  |  3.032% | 18954  |  2.970% | 
 | 46   | Gyarados-Mega      |  2.80046% | 23897  |  2.800% | 18216  |  2.854% | 
 | 47   | Skeledirge         |  2.76788% | 23619  |  2.768% | 17569  |  2.753% | 
 | 48   | Mawile-Mega        |  2.68140% | 22881  |  2.681% | 17080  |  2.676% | 
 | 49   | Aegislash          |  2.64753% | 22592  |  2.648% | 16674  |  2.612% | 
 | 50   | Excadrill          |  2.55753% | 21824  |  2.558% | 16649  |  2.608% | 
 | 51   | Zamazenta          |  2.55542% | 21806  |  2.555% | 15730  |  2.464% | 
 | 52   | Empoleon           |  2.51440% | 21456  |  2.514% | 16481  |  2.582% | 
 | 53   | Cinderace          |  2.50526% | 21378  |  2.505% | 15600  |  2.444% | 
 | 54   | Ceruledge          |  2.44632% | 20875  |  2.446% | 15631  |  2.449% | 
 | 55   | Tyranitar          |  2.42405% | 20685  |  2.424% | 16504  |  2.586% | 
 | 56   | Ting-Lu            |  2.40835% | 20551  |  2.408% | 16807  |  2.633% | 
 | 57   | Iron Treads        |  2.34342% | 19997  |  2.343% | 16465  |  2.580% | 
 | 58   | Ribombee           |  2.31436% | 19749  |  2.314% | 17806  |  2.790% | 
 | 59   | Dondozo            |  2.22295% | 18969  |  2.223% | 13760  |  2.156% | 
 | 60   | Iron Moth          |  2.18979% | 18686  |  2.190% | 13661  |  2.140% | 
 | 61   | Slowking-Galar     |  2.17573% | 18566  |  2.176% | 14536  |  2.277% | 
 | 62   | Tornadus-Therian   |  2.13448% | 18214  |  2.134% | 13540  |  2.121% | 
 | 63   | Ogerpon-Wellspring |  2.13436% | 18213  |  2.134% | 13847  |  2.169% | 
 | 64   | Meowscarada        |  2.11409% | 18040  |  2.114% | 13185  |  2.066% | 
 | 65   | Beedrill-Mega      |  2.10424% | 17956  |  2.104% | 13349  |  2.091% | 
 | 66   | Galvantula         |  2.09229% | 17854  |  2.092% | 15706  |  2.461% | 
 | 67   | Bisharp            |  2.08162% | 17763  |  2.082% | 13173  |  2.064% | 
 | 68   | Banette-Mega       |  2.08151% | 17762  |  2.082% | 13813  |  2.164% | 
 | 69   | Weavile            |  2.06369% | 17610  |  2.064% | 12783  |  2.003% | 
 | 70   | Gengar             |  2.05151% | 17506  |  2.052% | 12740  |  1.996% | 
 | 71   | Hydreigon          |  2.03182% | 17338  |  2.032% | 12789  |  2.004% | 
 | 72   | Clefable           |  2.00030% | 17069  |  2.000% | 12173  |  1.907% | 
 | 73   | Celesteela         |  1.97920% | 16889  |  1.979% | 12775  |  2.001% | 
 | 74   | Munkidori          |  1.94393% | 16588  |  1.944% | 12309  |  1.928% | 
 | 75   | Goodra-Hisui       |  1.93244% | 16490  |  1.932% | 12408  |  1.944% | 
 | 76   | Shuckle            |  1.93197% | 16486  |  1.932% | 14807  |  2.320% | 
 | 77   | Victini            |  1.88674% | 16100  |  1.887% | 12299  |  1.927% | 
 | 78   | Ogerpon-Cornerstone |  1.87139% | 15969  |  1.871% | 11806  |  1.850% | 
 | 79   | Fezandipiti        |  1.86811% | 15941  |  1.868% | 11747  |  1.840% | 
 | 80   | Ursaluna           |  1.86764% | 15937  |  1.868% | 12188  |  1.909% | 
 | 81   | Cresselia          |  1.86108% | 15881  |  1.861% | 11793  |  1.848% | 
 | 82   | Venusaur-Mega      |  1.81818% | 15515  |  1.818% | 11774  |  1.845% | 
 | 83   | Tyranitar-Mega     |  1.79639% | 15329  |  1.796% | 12081  |  1.893% | 
 | 84   | Zoroark-Hisui      |  1.78221% | 15208  |  1.782% | 6445   |  1.010% | 
 | 85   | Hoopa-Unbound      |  1.77541% | 15150  |  1.775% | 10611  |  1.662% | 
 | 86   | Venusaur           |  1.71588% | 14642  |  1.716% | 10761  |  1.686% | 
 | 87   | Togekiss           |  1.70170% | 14521  |  1.702% | 10678  |  1.673% | 
 | 88   | Manaphy            |  1.68213% | 14354  |  1.682% | 9934   |  1.556% | 
 | 89   | Azumarill          |  1.67896% | 14327  |  1.679% | 10998  |  1.723% | 
 | 90   | Tapu Fini          |  1.66068% | 14171  |  1.661% | 11171  |  1.750% | 
 | 91   | Chansey            |  1.66057% | 14170  |  1.661% | 10211  |  1.600% | 
 | 92   | Scizor             |  1.65482% | 14121  |  1.655% | 10630  |  1.665% | 
 | 93   | Okidogi            |  1.64615% | 14047  |  1.646% | 9765   |  1.530% | 
 | 94   | Skarmory           |  1.61463% | 13778  |  1.615% | 11130  |  1.744% | 
 | 95   | Infernape          |  1.60596% | 13704  |  1.606% | 10241  |  1.604% | 
 | 96   | Xurkitree          |  1.57631% | 13451  |  1.576% | 9765   |  1.530% | 
 | 97   | Salamence          |  1.57127% | 13408  |  1.571% | 9978   |  1.563% | 
 | 98   | Arcanine-Hisui     |  1.56318% | 13339  |  1.563% | 9796   |  1.535% | 
 | 99   | Blacephalon        |  1.54935% | 13221  |  1.549% | 9428   |  1.477% | 
 | 100  | Mimikyu            |  1.54431% | 13178  |  1.544% | 9497   |  1.488% | 
 | 101  | Kleavor            |  1.52486% | 13012  |  1.525% | 11035  |  1.729% | 
 | 102  | Medicham-Mega      |  1.51584% | 12935  |  1.516% | 10053  |  1.575% | 
 | 103  | Pinsir-Mega        |  1.49463% | 12754  |  1.495% | 8865   |  1.389% | 
 | 104  | Gardevoir-Mega     |  1.48291% | 12654  |  1.483% | 8556   |  1.340% | 
 | 105  | Porygon2           |  1.46943% | 12539  |  1.469% | 9904   |  1.552% | 
 | 106  | Ogerpon            |  1.45138% | 12385  |  1.451% | 8933   |  1.400% | 
 | 107  | Espeon             |  1.42244% | 12138  |  1.422% | 8639   |  1.353% | 
 | 108  | Garchomp-Mega      |  1.41142% | 12044  |  1.411% | 8741   |  1.369% | 
 | 109  | Ditto              |  1.39607% | 11913  |  1.396% | 8527   |  1.336% | 
