 Total battles: 63577
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Miraidon           | 30.22791% | 38436  | 30.228% | 27072  | 29.196% | 
 | 2    | Zacian-Crowned     | 29.32271% | 37285  | 29.323% | 26671  | 28.764% | 
 | 3    | Koraidon           | 28.04867% | 35665  | 28.049% | 26574  | 28.659% | 
 | 4    | Flutter Mane       | 16.08365% | 20451  | 16.084% | 14097  | 15.203% | 
 | 5    | Kyogre             | 14.53670% | 18484  | 14.537% | 13946  | 15.040% | 
 | 6    | Baxcalibur         | 11.88008% | 15106  | 11.880% | 10623  | 11.457% | 
 | 7    | Arceus             | 11.83290% | 15046  | 11.833% | 10624  | 11.458% | 
 | 8    | Ogerpon-Hearthflame | 11.33350% | 14411  | 11.334% | 9939   | 10.719% | 
 | 9    | Skeledirge         | 10.27887% | 13070  | 10.279% | 9741   | 10.505% | 
 | 10   | Annihilape         | 10.22068% | 12996  | 10.221% | 9721   | 10.484% | 
 | 11   | Groudon            | 10.14518% | 12900  | 10.145% | 10337  | 11.148% | 
 | 12   | Chien-Pao          |  8.69969% | 11062  |  8.700% | 7591   |  8.187% | 
 | 13   | Iron Bundle        |  8.44960% | 10744  |  8.450% | 7433   |  8.016% | 
 | 14   | Regieleki          |  8.23568% | 10472  |  8.236% | 7780   |  8.391% | 
 | 15   | Rayquaza           |  8.23175% | 10467  |  8.232% | 7349   |  7.926% | 
 | 16   | Ting-Lu            |  7.88729% | 10029  |  7.887% | 8096   |  8.731% | 
 | 17   | Kingambit          |  7.62383% | 9694   |  7.624% | 5956   |  6.423% | 
 | 18   | Eternatus          |  7.54518% | 9594   |  7.545% | 6768   |  7.299% | 
 | 19   | Giratina-Origin    |  7.54439% | 9593   |  7.544% | 7133   |  7.693% | 
 | 20   | Great Tusk         |  7.45159% | 9475   |  7.452% | 6778   |  7.310% | 
 | 21   | Arceus-Ground      |  7.28408% | 9262   |  7.284% | 6807   |  7.341% | 
 | 22   | Palafin            |  6.78626% | 8629   |  6.786% | 7285   |  7.857% | 
 | 23   | Calyrex-Ice        |  6.38674% | 8121   |  6.387% | 6135   |  6.616% | 
 | 24   | Ribombee           |  6.36944% | 8099   |  6.369% | 7606   |  8.203% | 
 | 25   | Clodsire           |  6.16182% | 7835   |  6.162% | 6268   |  6.760% | 
 | 26   | Volcarona          |  6.01869% | 7653   |  6.019% | 5332   |  5.750% | 
 | 27   | Ursaluna-Bloodmoon |  5.61052% | 7134   |  5.611% | 5184   |  5.591% | 
 | 28   | Glimmora           |  5.54603% | 7052   |  5.546% | 6478   |  6.986% | 
 | 29   | Chi-Yu             |  5.31324% | 6756   |  5.313% | 4462   |  4.812% | 
 | 30   | Ninetales-Alola    |  5.30302% | 6743   |  5.303% | 5858   |  6.318% | 
 | 31   | Urshifu-Rapid-Strike |  5.30066% | 6740   |  5.301% | 4745   |  5.117% | 
 | 32   | Corviknight        |  5.10955% | 6497   |  5.110% | 4840   |  5.220% | 
 | 33   | Mewtwo             |  4.96642% | 6315   |  4.966% | 4473   |  4.824% | 
 | 34   | Landorus-Therian   |  4.94204% | 6284   |  4.942% | 5174   |  5.580% | 
 | 35   | Arceus-Fairy       |  4.78003% | 6078   |  4.780% | 4660   |  5.026% | 
 | 36   | Espathra           |  4.76745% | 6062   |  4.767% | 4309   |  4.647% | 
 | 37   | Basculegion        |  4.61566% | 5869   |  4.616% | 3713   |  4.004% | 
 | 38   | Toxapex            |  4.45444% | 5664   |  4.454% | 4714   |  5.084% | 
 | 39   | Gholdengo          |  4.45365% | 5663   |  4.454% | 3842   |  4.143% | 
 | 40   | Iron Treads        |  4.04392% | 5142   |  4.044% | 3967   |  4.278% | 
 | 41   | Dragapult          |  3.95583% | 5030   |  3.956% | 3701   |  3.991% | 
 | 42   | Shaymin-Sky        |  3.84023% | 4883   |  3.840% | 3424   |  3.693% | 
 | 43   | Gliscor            |  3.77259% | 4797   |  3.773% | 3812   |  4.111% | 
 | 44   | Grimmsnarl         |  3.76001% | 4781   |  3.760% | 4096   |  4.417% | 
 | 45   | Darkrai            |  3.73956% | 4755   |  3.740% | 3424   |  3.693% | 
 | 46   | Garchomp           |  3.49576% | 4445   |  3.496% | 3471   |  3.743% | 
 | 47   | Magearna           |  3.46824% | 4410   |  3.468% | 3295   |  3.554% | 
 | 48   | Walking Wake       |  3.34712% | 4256   |  3.347% | 2915   |  3.144% | 
 | 49   | Iron Valiant       |  3.26140% | 4147   |  3.261% | 2817   |  3.038% | 
 | 50   | Meowscarada        |  3.04906% | 3877   |  3.049% | 2947   |  3.178% | 
 | 51   | Giratina           |  3.03097% | 3854   |  3.031% | 2745   |  2.960% | 
 | 52   | Ditto              |  2.95704% | 3760   |  2.957% | 2553   |  2.753% | 
 | 53   | Dragonite          |  2.90435% | 3693   |  2.904% | 2645   |  2.853% | 
 | 54   | Landorus           |  2.78796% | 3545   |  2.788% | 2611   |  2.816% | 
 | 55   | Dialga-Origin      |  2.77223% | 3525   |  2.772% | 2682   |  2.892% | 
 | 56   | Torterra           |  2.75021% | 3497   |  2.750% | 2671   |  2.881% | 
 | 57   | Garganacl          |  2.70853% | 3444   |  2.709% | 2540   |  2.739% | 
 | 58   | Urshifu            |  2.59921% | 3305   |  2.599% | 2195   |  2.367% | 
 | 59   | Greninja           |  2.59528% | 3300   |  2.595% | 2350   |  2.534% | 
 | 60   | Tyranitar          |  2.58112% | 3282   |  2.581% | 2458   |  2.651% | 
 | 61   | Cinderace          |  2.56146% | 3257   |  2.561% | 2353   |  2.538% | 
 | 62   | Amoonguss          |  2.48832% | 3164   |  2.488% | 2340   |  2.524% | 
 | 63   | Arceus-Ghost       |  2.41990% | 3077   |  2.420% | 2332   |  2.515% | 
 | 64   | Palkia-Origin      |  2.40653% | 3060   |  2.407% | 2067   |  2.229% | 
 | 65   | Dondozo            |  2.38451% | 3032   |  2.385% | 2331   |  2.514% | 
 | 66   | Hatterene          |  2.32553% | 2957   |  2.326% | 2353   |  2.538% | 
 | 67   | Zamazenta-Crowned  |  2.19969% | 2797   |  2.200% | 1998   |  2.155% | 
 | 68   | Zoroark-Hisui      |  2.19498% | 2791   |  2.195% | 1045   |  1.127% | 
 | 69   | Ceruledge          |  2.06836% | 2630   |  2.068% | 1930   |  2.081% | 
 | 70   | Houndstone         |  1.98342% | 2522   |  1.983% | 1663   |  1.794% | 
 | 71   | Cyclizar           |  1.95196% | 2482   |  1.952% | 2070   |  2.232% | 
 | 72   | Quaquaval          |  1.94803% | 2477   |  1.948% | 1881   |  2.029% | 
 | 73   | Maushold           |  1.86231% | 2368   |  1.862% | 1704   |  1.838% | 
 | 74   | Fezandipiti        |  1.83872% | 2338   |  1.839% | 1720   |  1.855% | 
 | 75   | Samurott-Hisui     |  1.73726% | 2209   |  1.737% | 1856   |  2.002% | 
 | 76   | Iron Moth          |  1.72389% | 2192   |  1.724% | 1521   |  1.640% | 
 | 77   | Infernape          |  1.71918% | 2186   |  1.719% | 1668   |  1.799% | 
 | 78   | Roaring Moon       |  1.69322% | 2153   |  1.693% | 1450   |  1.564% | 
 | 79   | Okidogi            |  1.66648% | 2119   |  1.666% | 1523   |  1.643% | 
 | 80   | Ursaluna           |  1.65862% | 2109   |  1.659% | 1579   |  1.703% | 
 | 81   | Heatran            |  1.57290% | 2000   |  1.573% | 1515   |  1.634% | 
 | 82   | Chandelure         |  1.55088% | 1972   |  1.551% | 1393   |  1.502% | 
 | 83   | Mimikyu            |  1.52256% | 1936   |  1.523% | 1430   |  1.542% | 
 | 84   | Scizor             |  1.51942% | 1932   |  1.519% | 1471   |  1.586% | 
 | 85   | Manaphy            |  1.51863% | 1931   |  1.519% | 1385   |  1.494% | 
 | 86   | Kommo-o            |  1.47616% | 1877   |  1.476% | 1247   |  1.345% | 
 | 87   | Sneasler           |  1.45572% | 1851   |  1.456% | 1304   |  1.406% | 
 | 88   | Azumarill          |  1.41875% | 1804   |  1.419% | 1339   |  1.444% | 
 | 89   | Sinistcha          |  1.40460% | 1786   |  1.405% | 1231   |  1.328% | 
 | 90   | Dipplin            |  1.40066% | 1781   |  1.401% | 1337   |  1.442% | 
 | 91   | Spectrier          |  1.38965% | 1767   |  1.390% | 1186   |  1.279% | 
 | 92   | Cresselia          |  1.38179% | 1757   |  1.382% | 1280   |  1.380% | 
 | 93   | Empoleon           |  1.37943% | 1754   |  1.379% | 1275   |  1.375% | 
 | 94   | Slowking-Galar     |  1.36370% | 1734   |  1.364% | 1289   |  1.390% | 
 | 95   | Torkoal            |  1.35662% | 1725   |  1.357% | 1515   |  1.634% | 
 | 96   | Munkidori          |  1.34561% | 1711   |  1.346% | 1174   |  1.266% | 
 | 97   | Cloyster           |  1.31730% | 1675   |  1.317% | 1327   |  1.431% | 
 | 98   | Dialga             |  1.31022% | 1666   |  1.310% | 1256   |  1.355% | 
 | 99   | Pelipper           |  1.30629% | 1661   |  1.306% | 1410   |  1.521% | 
 | 100  | Milotic            |  1.27798% | 1625   |  1.278% | 1192   |  1.286% | 
 | 101  | Arceus-Water       |  1.24495% | 1583   |  1.245% | 1182   |  1.275% | 
 | 102  | Gengar             |  1.21113% | 1540   |  1.211% | 1170   |  1.262% | 
 | 103  | Ambipom            |  1.17023% | 1488   |  1.170% | 1233   |  1.330% | 
 | 104  | Masquerain         |  1.16552% | 1482   |  1.166% | 1395   |  1.504% | 
 | 105  | Rotom-Wash         |  1.15922% | 1474   |  1.159% | 1123   |  1.211% | 
 | 106  | Blissey            |  1.14350% | 1454   |  1.143% | 1133   |  1.222% | 
 | 107  | Rillaboom          |  1.13956% | 1449   |  1.140% | 1130   |  1.219% | 
 | 108  | Ogerpon-Wellspring |  1.12934% | 1436   |  1.129% | 989    |  1.067% | 
 | 109  | Tinkaton           |  1.11361% | 1416   |  1.114% | 1111   |  1.198% | 
 | 110  | Goodra-Hisui       |  1.08923% | 1385   |  1.089% | 1014   |  1.094% | 
 | 111  | Iron Hands         |  1.07586% | 1368   |  1.076% | 1032   |  1.113% | 
 | 112  | Lucario            |  1.07271% | 1364   |  1.073% | 968    |  1.044% | 
 | 113  | Clefable           |  1.05856% | 1346   |  1.059% | 993    |  1.071% | 
 | 114  | Talonflame         |  1.02396% | 1302   |  1.024% | 975    |  1.052% | 
 | 115  | Ogerpon            |  0.98778% | 1256   |  0.988% | 928    |  1.001% | 
 | 116  | Orthworm           |  0.97598% | 1241   |  0.976% | 1017   |  1.097% | 
 | 117  | Breloom            |  0.96969% | 1233   |  0.970% | 892    |  0.962% | 
 | 118  | Snorlax            |  0.93115% | 1184   |  0.931% | 871    |  0.939% | 
 | 119  | Arceus-Steel       |  0.92880% | 1181   |  0.929% | 867    |  0.935% | 
 | 120  | Zapdos             |  0.92408% | 1175   |  0.924% | 854    |  0.921% | 
 | 121  | Espeon             |  0.90992% | 1157   |  0.910% | 877    |  0.946% | 
 | 122  | Gardevoir          |  0.86745% | 1103   |  0.867% | 751    |  0.810% | 
 | 123  | Ogerpon-Cornerstone |  0.84150% | 1070   |  0.841% | 789    |  0.851% | 
 | 124  | Kleavor            |  0.83128% | 1057   |  0.831% | 876    |  0.945% | 
 | 125  | Donphan            |  0.80768% | 1027   |  0.808% | 767    |  0.827% | 
 | 126  | Charizard          |  0.78959% | 1004   |  0.790% | 731    |  0.788% | 
 | 127  | Conkeldurr         |  0.78409% | 997    |  0.784% | 741    |  0.799% | 
 | 128  | Arceus-Fire        |  0.77937% | 991    |  0.779% | 769    |  0.829% | 
 | 129  | Pawmot             |  0.77937% | 991    |  0.779% | 725    |  0.782% | 
 | 130  | Salamence          |  0.77544% | 986    |  0.775% | 730    |  0.787% | 
 | 131  | Gyarados           |  0.77072% | 980    |  0.771% | 726    |  0.783% | 
 | 132  | Forretress         |  0.76050% | 967    |  0.760% | 867    |  0.935% | 
 | 133  | Spidops            |  0.75342% | 958    |  0.753% | 888    |  0.958% | 
 | 134  | Palkia             |  0.75263% | 957    |  0.753% | 713    |  0.769% | 
 | 135  | Arcanine-Hisui     |  0.74477% | 947    |  0.745% | 685    |  0.739% | 
 | 136  | Vikavolt           |  0.73690% | 937    |  0.737% | 753    |  0.812% | 
 | 137  | Lilligant-Hisui    |  0.71174% | 905    |  0.712% | 638    |  0.688% | 
 | 138  | Chansey            |  0.70387% | 895    |  0.704% | 682    |  0.736% | 
 | 139  | Sandy Shocks       |  0.70073% | 891    |  0.701% | 713    |  0.769% | 
 | 140  | Weezing-Galar      |  0.67949% | 864    |  0.679% | 723    |  0.780% | 
 | 141  | Mew                |  0.67792% | 862    |  0.678% | 673    |  0.726% | 
 | 142  | Armarouge          |  0.65590% | 834    |  0.656% | 610    |  0.658% | 
 | 143  | Arceus-Electric    |  0.65275% | 830    |  0.653% | 569    |  0.614% | 
 | 144  | Hawlucha           |  0.63860% | 812    |  0.639% | 544    |  0.587% | 
 | 145  | Gastrodon          |  0.63388% | 806    |  0.634% | 603    |  0.650% | 
 | 146  | Yanmega            |  0.63073% | 802    |  0.631% | 606    |  0.654% | 
 | 147  | Arceus-Grass       |  0.62601% | 796    |  0.626% | 623    |  0.672% | 
 | 148  | Jirachi            |  0.62129% | 790    |  0.621% | 601    |  0.648% | 
 | 149  | Alomomola          |  0.61658% | 784    |  0.617% | 646    |  0.697% | 
 | 150  | Wo-Chien           |  0.61264% | 779    |  0.613% | 536    |  0.578% | 
 | 151  | Krookodile         |  0.60321% | 767    |  0.603% | 577    |  0.622% | 
 | 152  | Grafaiai           |  0.60321% | 767    |  0.603% | 545    |  0.588% | 
 | 153  | Klefki             |  0.58512% | 744    |  0.585% | 655    |  0.706% | 
 | 154  | Slowking           |  0.57883% | 736    |  0.579% | 592    |  0.638% | 
 | 155  | Crawdaunt          |  0.57725% | 734    |  0.577% | 497    |  0.536% | 
 | 156  | Scream Tail        |  0.56231% | 715    |  0.562% | 518    |  0.559% | 
 | 157  | Enamorus           |  0.55995% | 712    |  0.560% | 500    |  0.539% | 
 | 158  | Haxorus            |  0.55995% | 712    |  0.560% | 455    |  0.491% | 
 | 159  | Hoopa-Unbound      |  0.55759% | 709    |  0.558% | 521    |  0.562% | 
 | 160  | Ariados            |  0.55523% | 706    |  0.555% | 648    |  0.699% | 
 | 161  | Mamoswine          |  0.55523% | 706    |  0.555% | 527    |  0.568% | 
 | 162  | Sableye            |  0.54186% | 689    |  0.542% | 571    |  0.616% | 
 | 163  | Cetitan            |  0.52377% | 666    |  0.524% | 404    |  0.436% | 
 | 164  | Staraptor          |  0.50333% | 640    |  0.503% | 456    |  0.492% | 
 | 165  | Zacian             |  0.47973% | 610    |  0.480% | 427    |  0.461% | 
 | 166  | Shiftry            |  0.47973% | 610    |  0.480% | 474    |  0.511% | 
 | 167  | Leavanny           |  0.47580% | 605    |  0.476% | 518    |  0.559% | 
 | 168  | Cramorant          |  0.47423% | 603    |  0.474% | 454    |  0.490% | 
 | 169  | Magnezone          |  0.47344% | 602    |  0.473% | 461    |  0.497% | 
 | 170  | Dachsbun           |  0.46164% | 587    |  0.462% | 446    |  0.481% | 
 | 171  | Sylveon            |  0.45929% | 584    |  0.459% | 407    |  0.439% | 
 | 172  | Sandslash-Alola    |  0.45221% | 575    |  0.452% | 387    |  0.417% | 
 | 173  | Quagsire           |  0.45142% | 574    |  0.451% | 448    |  0.483% | 
 | 174  | Polteageist        |  0.45063% | 573    |  0.451% | 447    |  0.482% | 
 | 175  | Ninetales          |  0.44906% | 571    |  0.449% | 454    |  0.490% | 
 | 176  | Slither Wing       |  0.44434% | 565    |  0.444% | 429    |  0.463% | 
 | 177  | Kilowattrel        |  0.44356% | 564    |  0.444% | 424    |  0.457% | 
 | 178  | Avalugg            |  0.44198% | 562    |  0.442% | 428    |  0.462% | 
 | 179  | Mandibuzz          |  0.43962% | 559    |  0.440% | 395    |  0.426% | 
 | 180  | Lokix              |  0.43884% | 558    |  0.439% | 404    |  0.436% | 
 | 181  | Dusclops           |  0.43884% | 558    |  0.439% | 432    |  0.466% | 
 | 182  | Hydreigon          |  0.43727% | 556    |  0.437% | 360    |  0.388% | 
 | 183  | Froslass           |  0.42390% | 539    |  0.424% | 453    |  0.489% | 
 | 184  | Umbreon            |  0.41053% | 522    |  0.411% | 381    |  0.411% | 
 | 185  | Rabsca             |  0.40423% | 514    |  0.404% | 353    |  0.381% | 
 | 186  | Appletun           |  0.40187% | 511    |  0.402% | 331    |  0.357% | 
 | 187  | Tornadus           |  0.39480% | 502    |  0.395% | 416    |  0.449% | 
 | 188  | Dugtrio            |  0.39008% | 496    |  0.390% | 399    |  0.430% | 
 | 189  | Typhlosion-Hisui   |  0.38772% | 493    |  0.388% | 344    |  0.371% | 
 | 190  | Eelektross         |  0.38693% | 492    |  0.387% | 359    |  0.387% | 
 | 191  | Thundurus-Therian  |  0.38615% | 491    |  0.386% | 372    |  0.401% | 
 | 192  | Salazzle           |  0.37750% | 480    |  0.377% | 343    |  0.370% | 
 | 193  | Iron Leaves        |  0.37592% | 478    |  0.376% | 323    |  0.348% | 
 | 194  | Moltres            |  0.37278% | 474    |  0.373% | 372    |  0.401% | 
 | 195  | Abomasnow          |  0.37278% | 474    |  0.373% | 374    |  0.403% | 
 | 196  | Regidrago          |  0.37042% | 471    |  0.370% | 329    |  0.355% | 
 | 197  | Gallade            |  0.36413% | 463    |  0.364% | 327    |  0.353% | 
 | 198  | Arceus-Flying      |  0.36177% | 460    |  0.362% | 305    |  0.329% | 
 | 199  | Arboliva           |  0.35862% | 456    |  0.359% | 327    |  0.353% | 
 | 200  | Weavile            |  0.35469% | 451    |  0.355% | 336    |  0.362% | 
 | 201  | Toxtricity         |  0.34918% | 444    |  0.349% | 327    |  0.353% | 
 | 202  | Volcanion          |  0.34682% | 441    |  0.347% | 335    |  0.361% | 
 | 203  | Arceus-Poison      |  0.34446% | 438    |  0.344% | 304    |  0.328% | 
 | 204  | Toedscruel         |  0.34289% | 436    |  0.343% | 335    |  0.361% | 
 | 205  | Arcanine           |  0.33739% | 429    |  0.337% | 322    |  0.347% | 
 | 206  | Golem-Alola        |  0.33660% | 428    |  0.337% | 361    |  0.389% | 
 | 207  | Morpeko            |  0.33031% | 420    |  0.330% | 321    |  0.346% | 
 | 208  | Azelf              |  0.32716% | 416    |  0.327% | 365    |  0.394% | 
 | 209  | Jolteon            |  0.32402% | 412    |  0.324% | 320    |  0.345% | 
 | 210  | Hippowdon          |  0.32323% | 411    |  0.323% | 345    |  0.372% | 
 | 211  | Barraskewda        |  0.32008% | 407    |  0.320% | 303    |  0.327% | 
 | 212  | Diancie            |  0.31930% | 406    |  0.319% | 331    |  0.357% | 
 | 213  | Bronzong           |  0.31772% | 404    |  0.318% | 316    |  0.341% | 
 | 214  | Mudsdale           |  0.31694% | 403    |  0.317% | 330    |  0.356% | 
 | 215  | Thundurus          |  0.30593% | 389    |  0.306% | 321    |  0.346% | 
 | 216  | Basculegion-F      |  0.30436% | 387    |  0.304% | 255    |  0.275% | 
 | 217  | Zamazenta          |  0.30278% | 385    |  0.303% | 273    |  0.294% | 
 | 218  | Vivillon           |  0.29964% | 381    |  0.300% | 276    |  0.298% | 
 | 219  | Noivern            |  0.29885% | 380    |  0.299% | 267    |  0.288% | 
 | 220  | Dusknoir           |  0.28784% | 366    |  0.288% | 289    |  0.312% | 
 | 221  | Iron Thorns        |  0.28233% | 359    |  0.282% | 270    |  0.291% | 
 | 222  | Frosmoth           |  0.27683% | 352    |  0.277% | 225    |  0.243% | 
 | 223  | Gothitelle         |  0.27290% | 347    |  0.273% | 247    |  0.266% | 
 | 224  | Mienshao           |  0.26661% | 339    |  0.267% | 244    |  0.263% | 
 | 225  | Brute Bonnet       |  0.26582% | 338    |  0.266% | 258    |  0.278% | 
 | 226  | Bisharp            |  0.25953% | 330    |  0.260% | 265    |  0.286% | 
 | 227  | Lycanroc-Dusk      |  0.25560% | 325    |  0.256% | 233    |  0.251% | 
 | 228  | Decidueye-Hisui    |  0.25402% | 323    |  0.254% | 245    |  0.264% | 
 | 229  | Lurantis           |  0.25245% | 321    |  0.252% | 221    |  0.238% | 
 | 230  | Pikachu            |  0.25166% | 320    |  0.252% | 242    |  0.261% | 
 | 231  | Politoed           |  0.25088% | 319    |  0.251% | 257    |  0.277% | 
 | 232  | Ludicolo           |  0.25088% | 319    |  0.251% | 258    |  0.278% | 
 | 233  | Arceus-Fighting    |  0.24930% | 317    |  0.249% | 225    |  0.243% | 
 | 234  | Zoroark            |  0.24773% | 315    |  0.248% | 129    |  0.139% | 
 | 235  | Arceus-Psychic     |  0.24459% | 311    |  0.245% | 220    |  0.237% | 
 | 236  | Gogoat             |  0.24459% | 311    |  0.245% | 217    |  0.234% | 
 | 237  | Slowbro            |  0.23751% | 302    |  0.238% | 231    |  0.249% | 
 | 238  | Veluza             |  0.23672% | 301    |  0.237% | 224    |  0.242% | 
 | 239  | Goodra             |  0.23515% | 299    |  0.235% | 210    |  0.226% | 
 | 240  | Avalugg-Hisui      |  0.23436% | 298    |  0.234% | 235    |  0.253% | 
 | 241  | Dudunsparce        |  0.23122% | 294    |  0.231% | 206    |  0.222% | 
 | 242  | Articuno-Galar     |  0.22886% | 291    |  0.229% | 212    |  0.229% | 
 | 243  | Arbok              |  0.22807% | 290    |  0.228% | 232    |  0.250% | 
 | 244  | Poliwrath          |  0.22650% | 288    |  0.226% | 214    |  0.231% | 
 | 245  | Enamorus-Therian   |  0.22650% | 288    |  0.226% | 220    |  0.237% | 
 | 246  | Golem              |  0.22650% | 288    |  0.226% | 235    |  0.253% | 
 | 247  | Arceus-Dragon      |  0.22492% | 286    |  0.225% | 219    |  0.236% | 
 | 248  | Moltres-Galar      |  0.22414% | 285    |  0.224% | 201    |  0.217% | 
 | 249  | Trevenant          |  0.22099% | 281    |  0.221% | 209    |  0.225% | 
 | 250  | Bellibolt          |  0.22099% | 281    |  0.221% | 196    |  0.211% | 
 | 251  | Iron Jugulis       |  0.21627% | 275    |  0.216% | 184    |  0.198% | 
 | 252  | Braviary-Hisui     |  0.21627% | 275    |  0.216% | 216    |  0.233% | 
 | 253  | Furret             |  0.21313% | 271    |  0.213% | 194    |  0.209% | 
 | 254  | Zarude             |  0.21313% | 271    |  0.213% | 196    |  0.211% | 
 | 255  | Vaporeon           |  0.21234% | 270    |  0.212% | 201    |  0.217% | 
 | 256  | Spiritomb          |  0.20920% | 266    |  0.209% | 202    |  0.218% | 
 | 257  | Pincurchin         |  0.20920% | 266    |  0.209% | 192    |  0.207% | 
 | 258  | Heracross          |  0.20605% | 262    |  0.206% | 215    |  0.232% | 
 | 259  | Carbink            |  0.20133% | 256    |  0.201% | 220    |  0.237% | 
 | 260  | Decidueye          |  0.19976% | 254    |  0.200% | 192    |  0.207% | 
 | 261  | Rotom-Heat         |  0.19897% | 253    |  0.199% | 213    |  0.230% | 
 | 262  | Delphox            |  0.19818% | 252    |  0.198% | 171    |  0.184% | 
 | 263  | Scyther            |  0.19740% | 251    |  0.197% | 190    |  0.205% | 
 | 264  | Electrode-Hisui    |  0.19189% | 244    |  0.192% | 192    |  0.207% | 
 | 265  | Overqwil           |  0.19111% | 243    |  0.191% | 185    |  0.200% | 
 | 266  | Scovillain         |  0.18717% | 238    |  0.187% | 168    |  0.181% | 
 | 267  | Dedenne            |  0.18717% | 238    |  0.187% | 203    |  0.219% | 
