 Total battles: 22839
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 25.93590% | 11847  | 25.936% | 10235  | 28.506% | 
 | 2    | Landorus-Therian   | 25.33824% | 11574  | 25.338% | 10125  | 28.199% | 
 | 3    | Dragapult          | 22.80529% | 10417  | 22.805% | 7875   | 21.933% | 
 | 4    | Urshifu-Rapid-Strike | 16.41490% | 7498   | 16.415% | 5935   | 16.530% | 
 | 5    | Garchomp           | 16.05806% | 7335   | 16.058% | 5807   | 16.173% | 
 | 6    | Toxapex            | 15.37064% | 7021   | 15.371% | 5839   | 16.262% | 
 | 7    | Heatran            | 14.66132% | 6697   | 14.661% | 5702   | 15.881% | 
 | 8    | Clefable           | 13.88415% | 6342   | 13.884% | 4921   | 13.705% | 
 | 9    | Zapdos             | 13.86444% | 6333   | 13.864% | 5316   | 14.806% | 
 | 10   | Blissey            | 11.31617% | 5169   | 11.316% | 4193   | 11.678% | 
 | 11   | Corviknight        | 11.28552% | 5155   | 11.286% | 4047   | 11.271% | 
 | 12   | Kartana            | 11.09068% | 5066   | 11.091% | 3760   | 10.472% | 
 | 13   | Weavile            | 11.01624% | 5032   | 11.016% | 3786   | 10.544% | 
 | 14   | Rillaboom          | 10.58715% | 4836   | 10.587% | 3715   | 10.347% | 
 | 15   | Melmetal           | 10.15368% | 4638   | 10.154% | 3650   | 10.166% | 
 | 16   | Volcarona          |  9.00215% | 4112   |  9.002% | 2945   |  8.202% | 
 | 17   | Tapu Lele          |  8.34100% | 3810   |  8.341% | 2960   |  8.244% | 
 | 18   | Dragonite          |  8.20088% | 3746   |  8.201% | 2696   |  7.509% | 
 | 19   | Tornadus-Therian   |  7.90972% | 3613   |  7.910% | 3013   |  8.392% | 
 | 20   | Slowbro            |  7.80463% | 3565   |  7.805% | 2822   |  7.860% | 
 | 21   | Pelipper           |  7.37554% | 3369   |  7.376% | 3094   |  8.617% | 
 | 22   | Tyranitar          |  7.26827% | 3320   |  7.268% | 2790   |  7.770% | 
 | 23   | Tapu Koko          |  7.23981% | 3307   |  7.240% | 2637   |  7.344% | 
 | 24   | Zeraora            |  6.99899% | 3197   |  6.999% | 2403   |  6.693% | 
 | 25   | Bisharp            |  6.81948% | 3115   |  6.819% | 2210   |  6.155% | 
 | 26   | Blacephalon        |  6.71877% | 3069   |  6.719% | 2278   |  6.344% | 
 | 27   | Blaziken           |  6.28968% | 2873   |  6.290% | 2161   |  6.019% | 
 | 28   | Barraskewda        |  6.21525% | 2839   |  6.215% | 2178   |  6.066% | 
 | 29   | Excadrill          |  5.54315% | 2532   |  5.543% | 1985   |  5.528% | 
 | 30   | Skarmory           |  5.37677% | 2456   |  5.377% | 2052   |  5.715% | 
 | 31   | Tapu Fini          |  5.35925% | 2448   |  5.359% | 2000   |  5.570% | 
 | 32   | Mew                |  4.96519% | 2268   |  4.965% | 1997   |  5.562% | 
 | 33   | Slowking-Galar     |  4.95862% | 2265   |  4.959% | 1838   |  5.119% | 
 | 34   | Buzzwole           |  4.91922% | 2247   |  4.919% | 1751   |  4.877% | 
 | 35   | Rotom-Wash         |  4.89951% | 2238   |  4.900% | 1889   |  5.261% | 
 | 36   | Ninetales-Alola    |  4.74189% | 2166   |  4.742% | 1826   |  5.086% | 
 | 37   | Hatterene          |  4.42445% | 2021   |  4.424% | 1640   |  4.568% | 
 | 38   | Aegislash          |  4.41131% | 2015   |  4.411% | 1590   |  4.428% | 
 | 39   | Scizor             |  4.13547% | 1889   |  4.135% | 1454   |  4.050% | 
 | 40   | Gengar             |  4.06323% | 1856   |  4.063% | 1393   |  3.880% | 
 | 41   | Gyarados           |  4.05009% | 1850   |  4.050% | 1454   |  4.050% | 
 | 42   | Regieleki          |  3.96252% | 1810   |  3.963% | 1413   |  3.935% | 
 | 43   | Magnezone          |  3.57065% | 1631   |  3.571% | 1260   |  3.509% | 
 | 44   | Nidoking           |  3.51373% | 1605   |  3.514% | 1239   |  3.451% | 
 | 45   | Swampert           |  3.36048% | 1535   |  3.360% | 1321   |  3.679% | 
 | 46   | Crawdaunt          |  3.35610% | 1533   |  3.356% | 1152   |  3.208% | 
 | 47   | Gastrodon          |  3.26415% | 1491   |  3.264% | 1192   |  3.320% | 
 | 48   | Cloyster           |  3.13718% | 1433   |  3.137% | 1091   |  3.039% | 
 | 49   | Volcanion          |  3.05837% | 1397   |  3.058% | 1143   |  3.183% | 
 | 50   | Hydreigon          |  3.01677% | 1378   |  3.017% | 1097   |  3.055% | 
 | 51   | Hippowdon          |  3.00363% | 1372   |  3.004% | 1189   |  3.311% | 
 | 52   | Togekiss           |  2.76501% | 1263   |  2.765% | 949    |  2.643% | 
 | 53   | Hawlucha           |  2.73874% | 1251   |  2.739% | 826    |  2.300% | 
 | 54   | Kommo-o            |  2.67744% | 1223   |  2.677% | 906    |  2.523% | 
 | 55   | Torkoal            |  2.66649% | 1218   |  2.666% | 1074   |  2.991% | 
 | 56   | Victini            |  2.66649% | 1218   |  2.666% | 955    |  2.660% | 
 | 57   | Seismitoad         |  2.64241% | 1207   |  2.642% | 1005   |  2.799% | 
 | 58   | Tangrowth          |  2.52857% | 1155   |  2.529% | 957    |  2.665% | 
 | 59   | Alakazam           |  2.47603% | 1131   |  2.476% | 838    |  2.334% | 
 | 60   | Latios             |  2.45632% | 1122   |  2.456% | 877    |  2.443% | 
 | 61   | Celesteela         |  2.32716% | 1063   |  2.327% | 799    |  2.225% | 
 | 62   | Mandibuzz          |  2.32059% | 1060   |  2.321% | 835    |  2.326% | 
 | 63   | Mimikyu            |  2.30089% | 1051   |  2.301% | 772    |  2.150% | 
 | 64   | Polteageist        |  2.27024% | 1037   |  2.270% | 735    |  2.047% | 
 | 65   | Incineroar         |  2.19799% | 1004   |  2.198% | 815    |  2.270% | 
 | 66   | Snorlax            |  2.17610% | 994    |  2.176% | 750    |  2.089% | 
 | 67   | Venusaur           |  2.16516% | 989    |  2.165% | 740    |  2.061% | 
 | 68   | Kingdra            |  2.09510% | 957    |  2.095% | 714    |  1.989% | 
 | 69   | Quagsire           |  2.00315% | 915    |  2.003% | 673    |  1.874% | 
 | 70   | Porygon2           |  1.94623% | 889    |  1.946% | 737    |  2.053% | 
 | 71   | Slowking           |  1.90026% | 868    |  1.900% | 715    |  1.991% | 
 | 72   | Grimmsnarl         |  1.84553% | 843    |  1.846% | 732    |  2.039% | 
 | 73   | Zapdos-Galar       |  1.79517% | 820    |  1.795% | 638    |  1.777% | 
 | 74   | Conkeldurr         |  1.71636% | 784    |  1.716% | 600    |  1.671% | 
 | 75   | Marowak-Alola      |  1.69447% | 774    |  1.694% | 574    |  1.599% | 
 | 76   | Charizard          |  1.69009% | 772    |  1.690% | 600    |  1.671% | 
 | 77   | Starmie            |  1.68571% | 770    |  1.686% | 633    |  1.763% | 
 | 78   | Arctozolt          |  1.67477% | 765    |  1.675% | 593    |  1.652% | 
 | 79   | Azumarill          |  1.64412% | 751    |  1.644% | 585    |  1.629% | 
 | 80   | Rotom-Heat         |  1.64193% | 750    |  1.642% | 618    |  1.721% | 
 | 81   | Dracozolt          |  1.62660% | 743    |  1.627% | 566    |  1.576% | 
 | 82   | Shuckle            |  1.61566% | 738    |  1.616% | 693    |  1.930% | 
 | 83   | Moltres-Galar      |  1.58939% | 726    |  1.589% | 524    |  1.459% | 
 | 84   | Milotic            |  1.56749% | 716    |  1.567% | 538    |  1.498% | 
 | 85   | Shedinja           |  1.54560% | 706    |  1.546% | 501    |  1.395% | 
 | 86   | Chansey            |  1.53028% | 699    |  1.530% | 557    |  1.551% | 
 | 87   | Haxorus            |  1.52590% | 697    |  1.526% | 461    |  1.284% | 
 | 88   | Inteleon           |  1.44928% | 662    |  1.449% | 515    |  1.434% | 
 | 89   | Umbreon            |  1.42082% | 649    |  1.421% | 499    |  1.390% | 
 | 90   | Espeon             |  1.42082% | 649    |  1.421% | 473    |  1.317% | 
 | 91   | Chandelure         |  1.41425% | 646    |  1.414% | 480    |  1.337% | 
 | 92   | Ditto              |  1.40330% | 641    |  1.403% | 463    |  1.290% | 
 | 93   | Salamence          |  1.38798% | 634    |  1.388% | 474    |  1.320% | 
 | 94   | Cresselia          |  1.38141% | 631    |  1.381% | 471    |  1.312% | 
 | 95   | Lucario            |  1.37703% | 629    |  1.377% | 466    |  1.298% | 
 | 96   | Jirachi            |  1.37265% | 627    |  1.373% | 474    |  1.320% | 
 | 97   | Amoonguss          |  1.33544% | 610    |  1.335% | 464    |  1.292% | 
 | 98   | Slurpuff           |  1.33325% | 609    |  1.333% | 425    |  1.184% | 
 | 99   | Metagross          |  1.32887% | 607    |  1.329% | 483    |  1.345% | 
 | 100  | Nihilego           |  1.31354% | 600    |  1.314% | 458    |  1.276% | 
 | 101  | Ribombee           |  1.27414% | 582    |  1.274% | 551    |  1.535% | 
 | 102  | Aerodactyl         |  1.21941% | 557    |  1.219% | 452    |  1.259% | 
 | 103  | Thundurus-Therian  |  1.18000% | 539    |  1.180% | 419    |  1.167% | 
 | 104  | Mamoswine          |  1.09900% | 502    |  1.099% | 408    |  1.136% | 
 | 105  | Blastoise          |  1.09243% | 499    |  1.092% | 366    |  1.019% | 
 | 106  | Krookodile         |  1.08148% | 494    |  1.081% | 403    |  1.122% | 
 | 107  | Roserade           |  1.07054% | 489    |  1.071% | 396    |  1.103% | 
 | 108  | Goodra             |  0.99172% | 453    |  0.992% | 368    |  1.025% | 
 | 109  | Reuniclus          |  0.98297% | 449    |  0.983% | 287    |  0.799% | 
 | 110  | Porygon-Z          |  0.97421% | 445    |  0.974% | 358    |  0.997% | 
 | 111  | Malamar            |  0.96545% | 441    |  0.965% | 365    |  1.017% | 
 | 112  | Diggersby          |  0.90197% | 412    |  0.902% | 292    |  0.813% | 
 | 113  | Sylveon            |  0.89759% | 410    |  0.898% | 289    |  0.805% | 
 | 114  | Klefki             |  0.88007% | 402    |  0.880% | 354    |  0.986% | 
 | 115  | Galvantula         |  0.87351% | 399    |  0.874% | 374    |  1.042% | 
 | 116  | Tapu Bulu          |  0.86694% | 396    |  0.867% | 318    |  0.886% | 
 | 117  | Flygon             |  0.86475% | 395    |  0.865% | 308    |  0.858% | 
 | 118  | Latias             |  0.86256% | 394    |  0.863% | 275    |  0.766% | 
 | 119  | Toxtricity         |  0.86256% | 394    |  0.863% | 295    |  0.822% | 
 | 120  | Arcanine           |  0.85599% | 391    |  0.856% | 296    |  0.824% | 
 | 121  | Darmanitan         |  0.84942% | 388    |  0.849% | 295    |  0.822% | 
 | 122  | Salazzle           |  0.83629% | 382    |  0.836% | 294    |  0.819% | 
 | 123  | Scyther            |  0.79688% | 364    |  0.797% | 294    |  0.819% | 
 | 124  | Mr. Mime           |  0.79031% | 361    |  0.790% | 293    |  0.816% | 
 | 125  | Machamp            |  0.76842% | 351    |  0.768% | 291    |  0.810% | 
 | 126  | Suicune            |  0.74872% | 342    |  0.749% | 271    |  0.755% | 
 | 127  | Sandslash-Alola    |  0.74653% | 341    |  0.747% | 277    |  0.771% | 
 | 128  | Moltres            |  0.73777% | 337    |  0.738% | 245    |  0.682% | 
 | 129  | Gardevoir          |  0.73777% | 337    |  0.738% | 245    |  0.682% | 
 | 130  | Primarina          |  0.73777% | 337    |  0.738% | 252    |  0.702% | 
 | 131  | Mienshao           |  0.73777% | 337    |  0.738% | 240    |  0.668% | 
 | 132  | Jellicent          |  0.73558% | 336    |  0.736% | 263    |  0.732% | 
 | 133  | Zoroark            |  0.72683% | 332    |  0.727% | 154    |  0.429% | 
 | 134  | Araquanid          |  0.72464% | 331    |  0.725% | 284    |  0.791% | 
 | 135  | Kabutops           |  0.69180% | 316    |  0.692% | 199    |  0.554% | 
 | 136  | Crobat             |  0.66772% | 305    |  0.668% | 240    |  0.668% | 
 | 137  | Dusclops           |  0.66772% | 305    |  0.668% | 240    |  0.668% | 
 | 138  | Xatu               |  0.66115% | 302    |  0.661% | 251    |  0.699% | 
 | 139  | Aron               |  0.65677% | 300    |  0.657% | 257    |  0.716% | 
 | 140  | Sirfetch'd         |  0.65239% | 298    |  0.652% | 210    |  0.585% | 
 | 141  | Scolipede          |  0.65020% | 297    |  0.650% | 221    |  0.616% | 
 | 142  | Keldeo             |  0.63926% | 292    |  0.639% | 219    |  0.610% | 
 | 143  | Barbaracle         |  0.62612% | 286    |  0.626% | 160    |  0.446% | 
 | 144  | Golisopod          |  0.61299% | 280    |  0.613% | 256    |  0.713% | 
 | 145  | Obstagoon          |  0.60642% | 277    |  0.606% | 234    |  0.652% | 
 | 146  | Aurorus            |  0.60423% | 276    |  0.604% | 230    |  0.641% | 
 | 147  | Corsola-Galar      |  0.59547% | 272    |  0.595% | 155    |  0.432% | 
 | 148  | Pyukumuku          |  0.59109% | 270    |  0.591% | 221    |  0.616% | 
 | 149  | Sceptile           |  0.57577% | 263    |  0.576% | 194    |  0.540% | 
 | 150  | Pikachu            |  0.57358% | 262    |  0.574% | 193    |  0.538% | 
 | 151  | Archeops           |  0.57139% | 261    |  0.571% | 242    |  0.674% | 
 | 152  | Frosmoth           |  0.53855% | 246    |  0.539% | 180    |  0.501% | 
 | 153  | Weezing-Galar      |  0.53636% | 245    |  0.536% | 200    |  0.557% | 
 | 154  | Lapras             |  0.52980% | 242    |  0.530% | 176    |  0.490% | 
 | 155  | Diancie            |  0.52980% | 242    |  0.530% | 179    |  0.499% | 
 | 156  | Absol              |  0.52761% | 241    |  0.528% | 168    |  0.468% | 
 | 157  | Xurkitree          |  0.52323% | 239    |  0.523% | 162    |  0.451% | 
 | 158  | Aggron             |  0.51885% | 237    |  0.519% | 201    |  0.560% | 
 | 159  | Whimsicott         |  0.51666% | 236    |  0.517% | 192    |  0.535% | 
 | 160  | Talonflame         |  0.51228% | 234    |  0.512% | 175    |  0.487% | 
 | 161  | Heliolisk          |  0.50790% | 232    |  0.508% | 175    |  0.487% | 
 | 162  | Vaporeon           |  0.49258% | 225    |  0.493% | 171    |  0.476% | 
 | 163  | Lycanroc-Dusk      |  0.47944% | 219    |  0.479% | 152    |  0.423% | 
 | 164  | Ludicolo           |  0.46850% | 214    |  0.468% | 169    |  0.471% | 
 | 165  | Regigigas          |  0.44004% | 201    |  0.440% | 164    |  0.457% | 
 | 166  | Rhyperior          |  0.43128% | 197    |  0.431% | 165    |  0.460% | 
 | 167  | Scrafty            |  0.42690% | 195    |  0.427% | 145    |  0.404% | 
 | 168  | Dhelmise           |  0.42252% | 193    |  0.423% | 142    |  0.395% | 
 | 169  | Jolteon            |  0.42252% | 193    |  0.423% | 149    |  0.415% | 
