 Total battles: 99728
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Calyrex-Shadow     | 20.70432% | 41296  | 20.704% | 28292  | 21.716% | 
 | 2    | Zacian-Crowned     | 14.11890% | 28161  | 14.119% | 18507  | 14.205% | 
 | 3    | Koraidon           | 11.30575% | 22550  | 11.306% | 15382  | 11.807% | 
 | 4    | Miraidon           | 10.76428% | 21470  | 10.764% | 14179  | 10.883% | 
 | 5    | Arceus             |  8.71721% | 17387  |  8.717% | 10969  |  8.419% | 
 | 6    | Maushold           |  8.38380% | 16722  |  8.384% | 7362   |  5.651% | 
 | 7    | Ditto              |  8.04538% | 16047  |  8.045% | 6570   |  5.043% | 
 | 8    | Smeargle           |  7.90300% | 15763  |  7.903% | 10855  |  8.332% | 
 | 9    | Terapagos          |  7.61922% | 15197  |  7.619% | 9279   |  7.122% | 
 | 10   | Kingambit          |  6.62101% | 13206  |  6.621% | 7497   |  5.754% | 
 | 11   | Glimmora           |  6.52174% | 13008  |  6.522% | 11107  |  8.525% | 
 | 12   | Gliscor            |  5.98277% | 11933  |  5.983% | 8519   |  6.539% | 
 | 13   | Annihilape         |  5.94016% | 11848  |  5.940% | 7337   |  5.632% | 
 | 14   | Archaludon         |  5.74262% | 11454  |  5.743% | 8025   |  6.160% | 
 | 15   | Dragapult          |  5.69449% | 11358  |  5.694% | 7701   |  5.911% | 
 | 16   | Kyogre             |  5.62129% | 11212  |  5.621% | 7752   |  5.950% | 
 | 17   | Drifblim           |  5.42977% | 10830  |  5.430% | 8499   |  6.523% | 
 | 18   | Blaziken           |  4.94595% | 9865   |  4.946% | 6874   |  5.276% | 
 | 19   | Regieleki          |  4.74039% | 9455   |  4.740% | 6513   |  4.999% | 
 | 20   | Garchomp           |  4.65215% | 9279   |  4.652% | 6672   |  5.121% | 
 | 21   | Flutter Mane       |  4.64864% | 9272   |  4.649% | 5964   |  4.578% | 
 | 22   | Espathra           |  4.50225% | 8980   |  4.502% | 6601   |  5.067% | 
 | 23   | Greninja           |  4.44910% | 8874   |  4.449% | 6328   |  4.857% | 
 | 24   | Ceruledge          |  4.38192% | 8740   |  4.382% | 6139   |  4.712% | 
 | 25   | Toxapex            |  4.33579% | 8648   |  4.336% | 6534   |  5.015% | 
 | 26   | Ting-Lu            |  4.17636% | 8330   |  4.176% | 6395   |  4.909% | 
 | 27   | Skeledirge         |  3.92668% | 7832   |  3.927% | 5340   |  4.099% | 
 | 28   | Serperior          |  3.82089% | 7621   |  3.821% | 5036   |  3.865% | 
 | 29   | Hydrapple          |  3.67048% | 7321   |  3.670% | 4584   |  3.518% | 
 | 30   | Ribombee           |  3.60982% | 7200   |  3.610% | 5968   |  4.581% | 
 | 31   | Grimmsnarl         |  3.51657% | 7014   |  3.517% | 5565   |  4.271% | 
 | 32   | Dragonite          |  3.43334% | 6848   |  3.433% | 4429   |  3.400% | 
 | 33   | Ho-Oh              |  3.43033% | 6842   |  3.430% | 4871   |  3.739% | 
 | 34   | Espeon             |  3.39273% | 6767   |  3.393% | 4566   |  3.505% | 
 | 35   | Necrozma-Dusk-Mane |  3.38771% | 6757   |  3.388% | 4761   |  3.654% | 
 | 36   | Chien-Pao          |  3.37418% | 6730   |  3.374% | 4441   |  3.409% | 
 | 37   | Clefable           |  3.36766% | 6717   |  3.368% | 4442   |  3.409% | 
 | 38   | Gouging Fire       |  3.31401% | 6610   |  3.314% | 4199   |  3.223% | 
 | 39   | Gholdengo          |  3.25084% | 6484   |  3.251% | 4415   |  3.389% | 
 | 40   | Sneasler           |  3.20622% | 6395   |  3.206% | 4243   |  3.257% | 
 | 41   | Clodsire           |  3.20221% | 6387   |  3.202% | 4550   |  3.492% | 
 | 42   | Metagross          |  3.18165% | 6346   |  3.182% | 4322   |  3.317% | 
 | 43   | Cinderace          |  3.18115% | 6345   |  3.181% | 4440   |  3.408% | 
 | 44   | Cloyster           |  3.14957% | 6282   |  3.150% | 4093   |  3.142% | 
 | 45   | Urshifu-Rapid-Strike |  3.11397% | 6211   |  3.114% | 4259   |  3.269% | 
 | 46   | Garganacl          |  3.06183% | 6107   |  3.062% | 4179   |  3.208% | 
 | 47   | Iron Bundle        |  3.01269% | 6009   |  3.013% | 3684   |  2.828% | 
 | 48   | Incineroar         |  2.99114% | 5966   |  2.991% | 4271   |  3.278% | 
 | 49   | Eternatus          |  2.95905% | 5902   |  2.959% | 3730   |  2.863% | 
 | 50   | Ursaluna-Bloodmoon |  2.95754% | 5899   |  2.958% | 3968   |  3.046% | 
 | 51   | Rayquaza           |  2.90390% | 5792   |  2.904% | 3716   |  2.852% | 
 | 52   | Mimikyu            |  2.87682% | 5738   |  2.877% | 4039   |  3.100% | 
 | 53   | Meowscarada        |  2.74948% | 5484   |  2.749% | 3924   |  3.012% | 
 | 54   | Palafin            |  2.72742% | 5440   |  2.727% | 4255   |  3.266% | 
 | 55   | Volcarona          |  2.72692% | 5439   |  2.727% | 3544   |  2.720% | 
 | 56   | Ogerpon-Hearthflame |  2.71990% | 5425   |  2.720% | 3583   |  2.750% | 
 | 57   | Baxcalibur         |  2.66224% | 5310   |  2.662% | 3356   |  2.576% | 
 | 58   | Galvantula         |  2.65923% | 5304   |  2.659% | 4560   |  3.500% | 
 | 59   | Basculegion        |  2.65773% | 5301   |  2.658% | 3037   |  2.331% | 
 | 60   | Gengar             |  2.65522% | 5296   |  2.655% | 3608   |  2.769% | 
 | 61   | Corviknight        |  2.64620% | 5278   |  2.646% | 3676   |  2.822% | 
 | 62   | Zoroark-Hisui      |  2.63517% | 5256   |  2.635% | 2056   |  1.578% | 
 | 63   | Groudon            |  2.60458% | 5195   |  2.605% | 3654   |  2.805% | 
 | 64   | Deoxys-Attack      |  2.55996% | 5106   |  2.560% | 3013   |  2.313% | 
 | 65   | Darkrai            |  2.55294% | 5092   |  2.553% | 3375   |  2.591% | 
 | 66   | Iron Valiant       |  2.54893% | 5084   |  2.549% | 3118   |  2.393% | 
 | 67   | Raging Bolt        |  2.52537% | 5037   |  2.525% | 3309   |  2.540% | 
 | 68   | Breloom            |  2.47523% | 4937   |  2.475% | 3110   |  2.387% | 
 | 69   | Iron Boulder       |  2.43061% | 4848   |  2.431% | 3105   |  2.383% | 
 | 70   | Amoonguss          |  2.42710% | 4841   |  2.427% | 3399   |  2.609% | 
 | 71   | Great Tusk         |  2.42409% | 4835   |  2.424% | 3159   |  2.425% | 
 | 72   | Arceus-Fairy       |  2.35892% | 4705   |  2.359% | 3245   |  2.491% | 
 | 73   | Tyranitar          |  2.32031% | 4628   |  2.320% | 3346   |  2.568% | 
 | 74   | Lucario            |  2.29324% | 4574   |  2.293% | 3079   |  2.363% | 
 | 75   | Quaquaval          |  2.27469% | 4537   |  2.275% | 3155   |  2.422% | 
 | 76   | Minior             |  2.15887% | 4306   |  2.159% | 2394   |  1.838% | 
 | 77   | Shaymin-Sky        |  2.13631% | 4261   |  2.136% | 2708   |  2.079% | 
 | 78   | Blastoise          |  2.12829% | 4245   |  2.128% | 2906   |  2.231% | 
 | 79   | Vivillon           |  2.10422% | 4197   |  2.104% | 1885   |  1.447% | 
