 Total battles: 11317
 Avg. weight/team: 0.285
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mienfoo            | 53.94522% | 9761   | 43.125% | 8189   | 45.022% | 
 | 2    | Vullaby            | 45.82538% | 7434   | 32.844% | 5990   | 32.932% | 
 | 3    | Voltorb-Hisui      | 26.02849% | 5232   | 23.116% | 4273   | 23.492% | 
 | 4    | Foongus            | 25.39975% | 3476   | 15.357% | 2816   | 15.482% | 
 | 5    | Gastly             | 23.91696% | 4158   | 18.371% | 3217   | 17.687% | 
 | 6    | Growlithe-Hisui    | 22.90132% | 3454   | 15.260% | 2701   | 14.850% | 
 | 7    | Glimmet            | 22.12241% | 5885   | 26.001% | 5194   | 28.556% | 
 | 8    | Mudbray            | 17.90177% | 3056   | 13.502% | 2643   | 14.531% | 
 | 9    | Snivy              | 17.41095% | 3363   | 14.858% | 2592   | 14.251% | 
 | 10   | Scraggy            | 16.65139% | 2104   |  9.296% | 1549   |  8.516% | 
 | 11   | Porygon            | 16.61853% | 2542   | 11.231% | 1993   | 10.957% | 
 | 12   | Trapinch           | 13.84693% | 2086   |  9.216% | 1770   |  9.731% | 
 | 13   | Tinkatink          | 13.31305% | 2064   |  9.119% | 1804   |  9.918% | 
 | 14   | Pawniard           | 12.95831% | 2874   | 12.698% | 2333   | 12.827% | 
 | 15   | Diglett-Alola      | 12.93723% | 1866   |  8.244% | 1676   |  9.214% | 
 | 16   | Stunky             | 12.51971% | 1410   |  6.230% | 1200   |  6.597% | 
 | 17   | Snubbull           | 11.00304% | 1230   |  5.434% | 1027   |  5.646% | 
 | 18   | Mareanie           | 10.78432% | 1970   |  8.704% | 1635   |  8.989% | 
 | 19   | Shellder           | 10.74131% | 2065   |  9.123% | 1570   |  8.632% | 
 | 20   | Toedscool          | 10.42642% | 2442   | 10.789% | 1943   | 10.682% | 
 | 21   | Impidimp           | 10.32516% | 1820   |  8.041% | 1533   |  8.428% | 
 | 22   | Timburr            |  9.42189% | 1394   |  6.159% | 1144   |  6.290% | 
 | 23   | Gothita            |  8.81039% | 1636   |  7.228% | 1213   |  6.669% | 
 | 24   | Minccino           |  8.54835% | 2318   | 10.241% | 1783   |  9.803% | 
 | 25   | Magby              |  7.86888% | 1582   |  6.989% | 1166   |  6.411% | 
 | 26   | Magnemite          |  7.27906% | 1588   |  7.016% | 1303   |  7.164% | 
 | 27   | Tentacool          |  6.30214% | 1055   |  4.661% | 899    |  4.943% | 
 | 28   | Drifloon           |  6.08181% | 1931   |  8.531% | 1449   |  7.966% | 
 | 29   | Drilbur            |  6.00937% | 1348   |  5.956% | 1125   |  6.185% | 
 | 30   | Meowth             |  5.56826% | 1615   |  7.135% | 1315   |  7.230% | 
 | 31   | Grimer-Alola       |  5.52729% | 813    |  3.592% | 693    |  3.810% | 
 | 32   | Elekid             |  5.37380% | 1307   |  5.774% | 1054   |  5.795% | 
 | 33   | Shroodle           |  5.31043% | 1174   |  5.187% | 988    |  5.432% | 
 | 34   | Wattrel            |  4.77833% | 1043   |  4.608% | 854    |  4.695% | 
 | 35   | Koffing            |  4.74201% | 1648   |  7.281% | 1266   |  6.960% | 
 | 36   | Grookey            |  4.47463% | 1715   |  7.577% | 1381   |  7.593% | 
 | 37   | Shellos            |  4.08325% | 510    |  2.253% | 449    |  2.469% | 
 | 38   | Larvesta           |  4.05737% | 1141   |  5.041% | 909    |  4.998% | 
 | 39   | Zorua-Hisui        |  3.84432% | 1604   |  7.087% | 788    |  4.332% | 
 | 40   | Slowpoke           |  3.72357% | 543    |  2.399% | 452    |  2.485% | 
 | 41   | Quaxly             |  3.58822% | 687    |  3.035% | 549    |  3.018% | 
 | 42   | Numel              |  3.52434% | 1025   |  4.529% | 782    |  4.299% | 
 | 43   | Chinchou           |  3.21106% | 925    |  4.087% | 785    |  4.316% | 
 | 44   | Teddiursa          |  2.58479% | 316    |  1.396% | 254    |  1.396% | 
 | 45   | Sandshrew-Alola    |  2.58175% | 966    |  4.268% | 804    |  4.420% | 
 | 46   | Psyduck            |  2.43654% | 438    |  1.935% | 357    |  1.963% | 
 | 47   | Torchic            |  2.41279% | 523    |  2.311% | 410    |  2.254% | 
 | 48   | Nymble             |  2.38771% | 881    |  3.892% | 690    |  3.794% | 
 | 49   | Squirtle           |  2.38111% | 482    |  2.130% | 383    |  2.106% | 
 | 50   | Houndour           |  2.37224% | 369    |  1.630% | 289    |  1.589% | 
 | 51   | Corphish           |  2.34852% | 905    |  3.998% | 711    |  3.909% | 
 | 52   | Snover             |  2.12278% | 795    |  3.512% | 702    |  3.860% | 
 | 53   | Doduo              |  2.09929% | 593    |  2.620% | 487    |  2.677% | 
 | 54   | Buizel             |  2.00063% | 774    |  3.420% | 631    |  3.469% | 
 | 55   | Fuecoco            |  1.92162% | 516    |  2.280% | 389    |  2.139% | 
 | 56   | Joltik             |  1.54106% | 390    |  1.723% | 308    |  1.693% | 
 | 57   | Cranidos           |  1.32959% | 1242   |  5.487% | 962    |  5.289% | 
 | 58   | Chespin            |  1.25183% | 177    |  0.782% | 148    |  0.814% | 
 | 59   | Axew               |  1.20451% | 715    |  3.159% | 518    |  2.848% | 
 | 60   | Cottonee           |  1.17758% | 584    |  2.580% | 498    |  2.738% | 
 | 61   | Treecko            |  1.13760% | 246    |  1.087% | 185    |  1.017% | 
 | 62   | Greavard           |  1.10232% | 229    |  1.012% | 186    |  1.023% | 
 | 63   | Deerling           |  1.09154% | 490    |  2.165% | 387    |  2.128% | 
 | 64   | Sandshrew          |  1.08407% | 256    |  1.131% | 208    |  1.144% | 
 | 65   | Solosis            |  1.07340% | 349    |  1.542% | 257    |  1.413% | 
 | 66   | Dewpider           |  1.06945% | 385    |  1.701% | 315    |  1.732% | 
 | 67   | Bulbasaur          |  1.04676% | 510    |  2.253% | 413    |  2.271% | 
 | 68   | Gible              |  1.04404% | 355    |  1.568% | 310    |  1.704% | 
 | 69   | Totodile           |  1.02698% | 493    |  2.178% | 381    |  2.095% | 
 | 70   | Riolu              |  1.00274% | 417    |  1.842% | 343    |  1.886% | 
 | 71   | Sandile            |  0.99954% | 307    |  1.356% | 257    |  1.413% | 
 | 72   | Hippopotas         |  0.92774% | 458    |  2.024% | 415    |  2.282% | 
 | 73   | Pineco             |  0.83532% | 212    |  0.937% | 189    |  1.039% | 
 | 74   | Barboach           |  0.83501% | 269    |  1.188% | 221    |  1.215% | 
 | 75   | Inkay              |  0.77670% | 499    |  2.205% | 387    |  2.128% | 
 | 76   | Bellsprout         |  0.74329% | 281    |  1.241% | 220    |  1.210% | 
 | 77   | Bramblin           |  0.72749% | 474    |  2.094% | 397    |  2.183% | 
 | 78   | Croagunk           |  0.70452% | 428    |  1.891% | 333    |  1.831% | 
 | 79   | Froakie            |  0.70384% | 389    |  1.719% | 327    |  1.798% | 
 | 80   | Charmander         |  0.69413% | 355    |  1.568% | 256    |  1.407% | 
 | 81   | Crabrawler         |  0.68817% | 433    |  1.913% | 341    |  1.875% | 
 | 82   | Venonat            |  0.67198% | 156    |  0.689% | 140    |  0.770% | 
 | 83   | Wingull            |  0.67015% | 255    |  1.127% | 215    |  1.182% | 
 | 84   | Cyndaquil          |  0.66632% | 409    |  1.807% | 303    |  1.666% | 
 | 85   | Larvitar           |  0.65708% | 224    |  0.990% | 163    |  0.896% | 
