 Total battles: 21285
 Avg. weight/team: 0.628
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mienfoo            | 59.70524% | 21602  | 50.745% | 18225  | 52.530% | 
 | 2    | Vullaby            | 50.82693% | 17579  | 41.294% | 14187  | 40.892% | 
 | 3    | Gastly             | 33.35922% | 12524  | 29.420% | 9610   | 27.699% | 
 | 4    | Glimmet            | 27.58018% | 10867  | 25.527% | 9706   | 27.976% | 
 | 5    | Growlithe-Hisui    | 22.73871% | 8590   | 20.179% | 6637   | 19.130% | 
 | 6    | Stunky             | 21.09077% | 6504   | 15.278% | 5431   | 15.654% | 
 | 7    | Voltorb-Hisui      | 19.67739% | 7213   | 16.944% | 6183   | 17.821% | 
 | 8    | Mudbray            | 19.64441% | 7234   | 16.993% | 6315   | 18.202% | 
 | 9    | Foongus            | 17.23832% | 5708   | 13.409% | 4777   | 13.769% | 
 | 10   | Pawniard           | 16.45419% | 6649   | 15.619% | 5394   | 15.547% | 
 | 11   | Mareanie           | 10.35969% | 3746   |  8.800% | 3148   |  9.074% | 
 | 12   | Magby              | 10.08833% | 3693   |  8.675% | 2526   |  7.281% | 
 | 13   | Shellder           | 10.07281% | 3772   |  8.861% | 2871   |  8.275% | 
 | 14   | Elekid             |  9.80327% | 3855   |  9.056% | 3055   |  8.806% | 
 | 15   | Koffing            |  8.99834% | 3527   |  8.285% | 2941   |  8.477% | 
 | 16   | Chinchou           |  8.96288% | 3602   |  8.461% | 3016   |  8.693% | 
 | 17   | Snivy              |  8.87156% | 3562   |  8.367% | 2759   |  7.952% | 
 | 18   | Timburr            |  8.72591% | 3117   |  7.322% | 2587   |  7.457% | 
 | 19   | Trapinch           |  8.17855% | 3358   |  7.888% | 2890   |  8.330% | 
 | 20   | Snubbull           |  7.84771% | 3078   |  7.230% | 2597   |  7.485% | 
 | 21   | Grookey            |  7.52628% | 3183   |  7.477% | 2666   |  7.684% | 
 | 22   | Toedscool          |  6.81564% | 2905   |  6.824% | 2418   |  6.969% | 
