 Total battles: 608030
 Avg. weight/team: 0.526
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 21.40162% | 185436 | 15.249% | 161168 | 17.416% | 
 | 2    | Ferrothorn         | 12.73250% | 134642 | 11.072% | 112483 | 12.155% | 
 | 3    | Urshifu-Rapid-Strike | 11.45786% | 107398 |  8.832% | 82959  |  8.965% | 
 | 4    | Tapu Lele          | 11.20915% | 93877  |  7.720% | 72107  |  7.792% | 
 | 5    | Raging Bolt        | 11.17648% | 91812  |  7.550% | 67437  |  7.287% | 
 | 6    | Tapu Koko          | 10.91129% | 101261 |  8.327% | 84714  |  9.154% | 
 | 7    | Heatran            | 10.73185% | 97459  |  8.014% | 78261  |  8.457% | 
 | 8    | Alomomola          | 10.27145% | 92533  |  7.609% | 72364  |  7.820% | 
 | 9    | Great Tusk         | 10.16728% | 94980  |  7.810% | 69623  |  7.523% | 
 | 10   | Gliscor            |  9.88905% | 110034 |  9.048% | 88519  |  9.565% | 
 | 11   | Dragonite          |  9.86124% | 103935 |  8.547% | 73368  |  7.928% | 
 | 12   | Corviknight        |  9.43053% | 91724  |  7.543% | 71873  |  7.767% | 
 | 13   | Scizor-Mega        |  8.49123% | 82236  |  6.762% | 63659  |  6.879% | 
 | 14   | Slowking-Galar     |  8.43974% | 74213  |  6.103% | 58918  |  6.367% | 
 | 15   | Ogerpon-Wellspring |  8.08828% | 71902  |  5.913% | 52757  |  5.701% | 
 | 16   | Iron Valiant       |  8.00836% | 75063  |  6.173% | 51864  |  5.604% | 
 | 17   | Volcarona          |  7.89078% | 86926  |  7.148% | 61044  |  6.596% | 
 | 18   | Darkrai            |  7.84972% | 75549  |  6.213% | 57108  |  6.171% | 
 | 19   | Iron Crown         |  7.64619% | 61495  |  5.057% | 46472  |  5.022% | 
 | 20   | Rillaboom          |  7.51947% | 72970  |  6.001% | 55457  |  5.993% | 
 | 21   | Charizard-Mega-Y   |  7.50064% | 80496  |  6.619% | 63564  |  6.869% | 
 | 22   | Zapdos             |  7.33029% | 69948  |  5.752% | 55921  |  6.043% | 
 | 23   | Garganacl          |  7.21956% | 72745  |  5.982% | 55123  |  5.957% | 
 | 24   | Garchomp           |  7.08848% | 84025  |  6.910% | 66314  |  7.166% | 
 | 25   | Zamazenta          |  6.78990% | 56072  |  4.611% | 39801  |  4.301% | 
 | 26   | Iron Treads        |  6.51557% | 56165  |  4.619% | 45851  |  4.955% | 
 | 27   | Pelipper           |  6.39873% | 68377  |  5.623% | 62512  |  6.755% | 
 | 28   | Moltres            |  6.29215% | 53565  |  4.405% | 42686  |  4.613% | 
 | 29   | Lopunny-Mega       |  6.26598% | 70093  |  5.764% | 55575  |  6.005% | 
 | 30   | Gouging Fire       |  6.18810% | 55525  |  4.566% | 40213  |  4.345% | 
 | 31   | Toxapex            |  5.93907% | 68045  |  5.596% | 52297  |  5.651% | 
